Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Epi25 DM p-value,Epi25 PTV p-value,Unified Model p-value
SCN1A,DEE,273,4.848874880277709e-05,0.1496175684171474,3.627562620249994e-08,4.7972770320167224e-20,0.7092941468846681,1.4439e-05,6.3195e-09,2.1724715824834027e-19
DEPDC5,NAFE,349,0.8364363971051714,0.0327672439195056,0.8525499863884064,9.309319752189952e-25,0.0336127785493356,0.32267,2.2e-16,5.989804183798481e-14
SP4,GGE,234,0.9334831789832668,0.6869073025748931,0.4188607117364367,0.9905974161295752,0.0001212788709855,0.71125,0.035919,3.18377235884882e-12
SCN1A,EPI,440,0.0314897827274497,0.9854280025585176,5.061927027081708e-07,4.5511738664272173e-07,0.0028171365868101,0.00016047,3.4869e-08,1.182634736460196e-11
DEPDC5,EPI,410,0.2218130200116154,0.0608616992466045,0.3408233378103679,2.5781641220561448e-15,0.0003242844305471,0.36857,3.4417e-15,7.578588280035886e-11
STXBP1,DEE,56,0.5119283748513979,0.4006951470210352,1.1594399466235278e-08,2.3179165341768723e-10,0.0103560546825232,8.429e-05,2.2243e-05,7.635633725627743e-11
SLC6A1,DEE,60,0.3389625785314321,0.3164048174044254,1.7279359316349566e-11,3.953466851233934e-07,0.1793236894702086,0.00017125,0.0018177,8.393358837109662e-11
SYNGAP1,DEE,154,0.11000670741597,0.1358814043255173,0.8946085837228461,2.2638435542554574e-18,0.202109649878322,0.19149,5.9462e-08,9.173854254600032e-11
KCNQ2,DEE,149,0.0102306427201454,0.5095123038570417,8.587124139075949e-07,0.2574347911931507,0.0335074361109665,0.034392,0.27467,4.447589144401546e-09
KANSL1,DEE,271,0.2513685165497367,0.7669646280650807,0.0212074513614622,0.043330846352357,0.9989867628715956,,0.0004455,1.1696799340372242e-08
KCNB1,DEE,121,0.0579976292758176,0.6568146166532576,0.0002129114655383,7.446173620647693e-09,0.9900911122556398,0.0013155,0.00046125,1.4886446253345584e-08
ANKRD11,DEE,650,0.8203060320122127,0.0146033339450961,0.1971737001912468,6.669631826247062e-18,0.8394020748585904,0.1469,1.1956e-06,1.7422381740218593e-08
TBL1XR1,DEE,46,0.5096239521711843,0.2413980759891152,1.1634688417016487e-07,,1.8694971587261768e-16,7.4407e-05,,3.365774711648676e-08
CACNA1A,GGE,289,0.0001129243588226,0.0279824635529189,0.1984444918533567,4.13065354909135e-05,0.0724707849467826,0.14778,0.0078137,5.977892236639083e-08
CACNA1A,DEE,278,0.1696705130860603,0.5292530288451532,7.129828876489274e-07,0.0004684035314429,0.5015711735606214,0.013135,0.36739,6.771123824165345e-08
SLC22A1,DEE,156,0.0007285268250674,0.3234809214444305,0.0001287389648315,2.04615296285119e-13,2.8348572175456848e-06,,0.041768,8.875053127747975e-08
SLC25A11,DEE,52,9.71167712127794e-07,0.2942681160642298,0.0005340302227943,,5.1370740231149645e-11,0.16316,,1.3968064607854346e-07
DYRK1A,DEE,95,0.948965888810407,0.3783693871576399,0.5614132561483646,2.656771833017145e-12,0.0837388304429195,0.71647,0.00034887,1.74659413065257e-07
OSTF1,GGE,31,0.1132985463929077,0.0001486495303298,0.4343543361225318,5.98074091183086e-10,0.8572217545024403,,0.14793,1.9964021074567145e-07
YLPM1,DEE,439,8.067306824174984e-07,0.0046827561175064,0.5293955138712326,5.07193468823035e-10,2.6823944125831854e-13,0.56507,0.058091,2.331301626875183e-07
NPRL3,NAFE,164,0.9184930285234856,0.5315438837906457,0.0123527554175141,2.2505873955487017e-10,0.0008649116805221,,1.3519e-06,2.7284796769182935e-07
STX1B,DEE,42,0.1262390284219998,0.3647352336816187,0.5643711185094645,1.640826450315625e-08,0.6893357211137816,0.0013502,2.2855e-07,7.943852508137586e-05
