Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Epi25 DM p-value,Epi25 PTV p-value,Unified Model p-value
SCN1A,DEE,273,7.502530687398019e-05,0.2572258720618638,6.500789771437752e-08,3.703668534263876e-20,0.8562533843122115,1.4439e-05,6.3195e-09,3.2081676518931395e-19
PCDHAC2,DEE,215,0.1058655790951076,0.0026421940223562,3.6730003278874e-15,0.0409749074939033,1.1477933258020513e-07,0.6858,0.74156,5.397713159713694e-17
PCDHGA11,DEE,267,0.539615927574016,0.554416589346995,1.685419235824396e-17,7.869999465666557e-06,1.802777169200741e-13,,0.73016,4.551352839667794e-16
PCDHGA1,GGE,661,4.963108343450983e-05,1.658484285325922e-06,3.126382808395963e-06,0.0616964828308879,0.0009339664494272,,0.42348,8.264610238865681e-14
DEPDC5,NAFE,349,0.948328141647041,0.1502930514577124,0.8857288170720261,5.664037829895637e-24,0.0039247372178174,0.32267,2.2e-16,2.0152475145689298e-13
SP4,GGE,234,0.9986730741039886,0.0371683628655575,0.3741247945483946,0.9273737062808513,0.0001723539180108,0.71125,0.035919,4.251029941287571e-13
SCN2A,DEE,410,0.3375136518427731,0.5837355714411263,2.919495189887772e-13,6.284278991328505e-08,0.0001064769513841,0.00041556,0.026317,3.398413357885124e-12
PCDHGA10,NAFE,310,7.505368679457123e-13,0.1254377756820586,0.249859988928872,0.4001391591846034,5.003493209543722e-07,,0.94001,5.440559895009561e-12
SCN1A,EPI,440,0.0280092268845229,0.4303393410225525,3.7612128225704803e-07,3.172888261536513e-07,0.0012099923450882,0.00016047,3.4869e-08,8.75001925943628e-12
PCDHGA1,NAFE,658,0.018795987714862,2.9245224576826422e-06,8.757968778049415e-05,0.0505121377639453,0.0001428011011431,,0.69613,2.2503411600428862e-11
STXBP1,DEE,56,0.6426227088157488,0.3119837324758383,5.4848501007382895e-09,8.892470206317098e-12,0.0187184409811313,8.429e-05,2.2243e-05,6.536068902123153e-11
SLC6A1,DEE,60,0.2708126097447123,0.238081003732386,2.6920809716280444e-11,3.822456371618567e-07,0.2637912415053096,0.00017125,0.0018177,6.934315426492672e-11
SYNGAP1,DEE,154,0.0825434204209193,0.4366162299663807,0.7244988259009144,5.181931375944056e-18,0.6701447122975257,0.19149,5.9462e-08,2.015260079000129e-10
DEPDC5,EPI,410,0.2727800059080362,0.2555567864566121,0.4966521268469178,9.453921548455438e-15,1.6527268677170735e-05,0.36857,3.4417e-15,2.2169318820489635e-10
PCDHA1,NAFE,519,8.514420881049452e-10,0.7006299292612206,0.0080115422207901,0.0166093792570653,0.0286840273073544,,0.083555,4.72492507747882e-10
KANSL1,DEE,271,0.3063919794691231,0.0364735869811128,0.0277055363066455,0.0413938771007065,0.9811483376180964,,0.0004455,1.5381102059094292e-09
KCNQ2,DEE,149,0.0117837303065307,0.2028898841033085,5.832356150900887e-07,0.2630072499423614,0.0259517059690384,0.034392,0.27467,2.5058265760374114e-09
TBL1XR1,DEE,46,0.4151601627469489,0.011988642456519,7.780185413226173e-09,,1.0371570358774896e-18,7.4407e-05,,2.8655646994780193e-09
KCNB1,DEE,121,0.0664645324270717,0.286920587510022,0.0002013388252382,6.6271615926153035e-09,0.8911078514626467,0.0013155,0.00046125,9.460246550781504e-09
SLC22A1,DEE,156,0.0004898685135231,0.0416929310586104,0.0001958896335925,4.7842578302080126e-14,5.279391429076334e-06,,0.041768,1.9307205441459978e-08
CD8B,DEE,82,7.361320197190516e-08,0.0581715078952291,0.5582450756743615,1.5436110777562148e-07,0.2668841748962026,,0.020825,2.812656696474224e-08
RYR2,GGE,720,0.6855694779758221,0.0235635560502667,0.1271822167158239,2.0323577849841685e-15,0.3220272789193547,0.64525,8.6024e-06,5.1747178676129793e-08
SATB1,DEE,84,0.123416382501226,0.0048089262022527,0.2189695721560769,9.308613997173037e-14,0.053488197971011,0.42869,0.044607,5.2802930370943545e-08
PCDHA1,GGE,492,0.1974849645737619,9.582168634204291e-07,2.3651171224882947e-05,4.44271803022475e-05,0.1959430536588968,,0.5267,6.700063597891119e-08
PCDHGA10,EPI,369,5.893887246803525e-07,0.0211593273943918,0.0061607459688213,0.3334323037769937,0.0198978200041014,,0.70519,7.526012091478662e-08
CACNA1A,DEE,278,0.1744599174995313,0.7728461532098234,1.5518881137039176e-07,0.0005269149459787,0.3974821591240698,0.013135,0.36739,7.864226128032303e-08
GABRB3,DEE,38,0.4472771538910255,0.0197475934525851,6.086297899177984e-07,,4.0654532267293596e-18,0.0096158,,7.889575415706737e-08
SLC6A1,GGE,81,0.8641880760655403,0.0238879463825786,7.006721467381562e-08,,4.4301436251178246e-11,3.0095e-06,,1.5613353039591305e-07
SLC25A11,DEE,52,8.962450709614249e-07,0.8291787162633946,0.0004158638365468,,6.444825100452355e-21,0.16316,,2.354473921274393e-07
DYRK1A,DEE,95,0.9558525731019114,0.8935462974415778,0.5870056997912185,2.005602334471538e-13,0.1506494724838004,0.71647,0.00034887,2.516458207027398e-07
ANKRD11,DEE,650,0.6711243033172994,0.7618943571837868,0.0842454045739431,1.84493754412836e-17,0.6469071997059437,0.1469,1.1956e-06,2.862280086078086e-07
STIM2,GGE,231,1.9202988883130503e-08,0.1580466963873384,0.2019046691437355,0.5072868385074627,0.1049962148671809,,0.99203,3.193480387973933e-07
NPRL3,NAFE,164,0.8546648289803666,0.8253310740064258,0.0119958243892286,2.744992207509418e-10,0.0002717426142758,,1.3519e-06,3.21322629398678e-07
STX1B,DEE,42,0.1392159412455153,0.8880477141319618,0.5329897731745525,2.5691336555746763e-08,0.8684584722476381,0.0013502,2.2855e-07,0.0001165823753277
