Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Epi25 DM p-value,Epi25 PTV p-value,Unified Model p-value
SLC6A1,GGE,81,0.7840596017711347,0.172738717937379,8.615174950882328e-07,,0.0009433548904631,3.0095e-06,,7.692427094653425e-07
ANKRD11,GGE,682,0.5075354480766866,0.0216683025255761,2.5597177614459046e-06,0.0001253937424543,0.5626209761312762,0.34534,0.013123,1.065971300273157e-06
ATP2B2,DEE,191,0.0004435073371777,0.1401613113013007,0.7411794204193132,2.889813024437405e-08,0.5299971729569858,0.20276,0.0062183,1.0838587532233595e-06
GABRB3,DEE,38,0.7531375938295246,0.9889713419890402,1.2053034879685622e-07,,3.6178952978343714e-08,0.0096158,,1.1860345417360066e-06
SATB1,DEE,84,0.2450423347046675,0.233834405203736,0.6555273549769832,4.302822235724326e-11,0.0408857457693727,0.42869,0.044607,1.2330000960303814e-06
CACNA1B,GGE,370,0.1031576297221777,0.1368998985569563,0.0094877150779078,3.441209723703287e-08,0.0914358151001028,0.021398,0.00024803,1.8043110062864027e-06
SETD1B,GGE,354,0.0725686819898476,0.4323854522242287,0.0294573427497549,1.351521373784355e-07,0.0364758651503104,0.27494,6.1394e-06,2.153226462768404e-06
CHD2,DEE,221,0.1504463031736139,0.2085341711222103,0.0225798492382869,5.102773297761245e-09,0.696667942394241,0.0002485,0.0034867,4.879427720641598e-06
CHD2,GGE,231,0.5249663911578861,0.4845182699640628,0.0077464354361087,3.973323583650802e-09,0.0083333687677321,0.97159,0.00044474,4.882539571107037e-06
SCN2A,DEE,212,0.4894449336669154,0.7381132577055627,5.171535928701881e-07,4.3092417348192505e-07,0.0003551026701461,0.00041556,0.026317,5.262158451235106e-06
CACNA1A,EPI,384,0.0957147540868235,0.8542767818160852,0.0005692182712708,0.003747890651943,0.0218657252626627,0.2174,0.013972,7.479376633163203e-06
SCN1A,GGE,274,0.0211451723454623,0.29436616550699,0.0039692108152493,4.489733155491615e-05,0.2127972853741994,0.099042,0.0024069,7.657852168848373e-06
TANC2,DEE,359,1.0620433895649971e-05,0.6889772541730623,0.5519590607970194,3.606861369257634e-05,0.0623759855699316,,0.069013,8.230255330301502e-06
CHD1,DEE,145,2.0043921093772017e-07,0.1084476350399518,0.7793181619094791,0.0354185664491269,0.0019917626758581,0.41593,0.17536,1.0099654474438451e-05
SYNE1,DEE,1981,0.0392303327860635,0.8251744566277314,0.0037409625558382,5.113591363925283e-38,4.972616830263168e-45,,0.0008712,1.193821407032033e-05
ARV1,DEE,53,9.362345716432709e-05,0.1329697220553569,0.4547336955211675,5.671259296001701e-07,0.5091813044919609,,0.10286,1.2614726683731474e-05
NPRL2,NAFE,80,0.8406895977461395,0.121922068591494,0.0309062546350853,3.792338029587472e-07,0.0007594688960518,,3.6181e-05,1.97181953982383e-05
LGI1,NAFE,98,0.2511517264468147,0.5600835716712571,0.0029182106906689,4.682485165777354e-05,0.02402070860804,0.0078808,1.3712e-05,2.3656747512873017e-05
NBEA,DEE,316,0.0315319291617395,0.9304878333219244,0.5481547334073427,3.593164596455478e-13,0.4218618689458293,0.95052,0.0001639,2.7921453987849303e-05
GRIK2,DEE,73,0.0209730605367331,0.7710790614300691,0.0206222948208881,0.0012287013567161,0.8397807555618495,0.36883,0.11563,4.741971472193134e-05
GOT2,DEE,84,0.3563459068584214,0.4249344123342603,0.0338750673559948,2.8093973221812933e-08,0.0558825664915015,,0.053325,6.727541500757432e-05
STX1B,DEE,42,0.1262390284219998,0.3647352336816187,0.5643711185094645,1.640826450315625e-08,0.6893357211137816,0.0013502,2.2855e-07,7.943852508137586e-05
SCN1A,NAFE,311,0.0124870460351805,0.2711136295374176,0.0164884316043287,0.0046262369742614,0.3050462042052166,0.378,0.0041681,9.136794580578312e-05
