Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Epi25 DM p-value,Epi25 PTV p-value,Unified Model p-value
CACNA1A,GGE,289,0.0002018295471192,0.8143350575017068,0.0587591293725474,4.1036414261662366e-05,0.1840050610806806,0.14778,0.0078137,5.822357921228879e-07
NBEA,DEE,619,0.0018881038160885,0.9928884639997388,0.4083379702863489,3.6586817854742526e-14,0.4222614591870489,0.95052,0.0001639,1.4661373622577668e-06
SCN8A,NAFE,389,0.0001763460399946,0.612054906282208,0.0041444764949041,0.8147781514467439,0.0891115139254347,0.19048,0.99686,1.5590061984635952e-06
SETD1B,GGE,354,0.068797743131595,0.7093316126135772,0.0459008702723386,2.1212888092170054e-07,0.0331303921966999,0.27494,6.1394e-06,2.696970706352213e-06
ATP2B2,DEE,191,0.0004686050245832,0.639534518087439,0.7599384474772382,5.92922993628192e-08,0.3701390665530881,0.20276,0.0062183,2.7429005416175554e-06
CACNA1A,EPI,384,0.1230649075154434,0.1826648484546038,0.0002990337181676,0.0041888106630477,0.0193617056283823,0.2174,0.013972,3.2958664616282256e-06
CHD2,DEE,221,0.1168781597661459,0.1421238101326105,0.0112625724446821,8.948789435895224e-10,0.5551861946984946,0.0002485,0.0034867,3.7224482232042335e-06
SLC2A1,GGE,89,0.112856707517377,0.0057061803207565,0.0003640351268121,0.8920417689676889,0.1537032643934452,5.6406e-05,0.57465,4.661720156639169e-06
CACNA1B,GGE,370,0.114273292458593,0.9615869022078148,0.0213556832588168,7.802056906593215e-08,0.054997487408667,0.021398,0.00024803,5.117503179586877e-06
DLG4,DEE,76,0.6444245566060882,0.0029036142598297,0.4278880641548895,5.606333321158675e-12,0.9516399165518326,0.62404,0.00011553,5.281276454535344e-06
CHD2,GGE,231,0.5487135456451951,0.6700185854943029,0.0055271898452921,2.048540270056899e-09,0.0114873980253189,0.97159,0.00044474,5.645444998689054e-06
TANC2,DEE,359,1.1267558971411676e-05,0.4828538042632304,0.6528983011397627,5.082957282460813e-05,0.0690297527186312,,0.069013,7.041028255446924e-06
SCN8A,EPI,481,0.0035270429826751,0.7855466829363343,0.0006724872039466,0.6335150041851716,0.7480525117749126,0.029832,0.89643,8.243203486984013e-06
SYNE1,DEE,1981,0.0425042958528166,0.4212377636620851,0.0053926945519453,3.369001981770876e-38,2.5431718765010372e-46,,0.0008712,9.025632047468609e-06
SCN8A,DEE,317,0.1046596880100889,0.7050261915729207,3.165390756361466e-06,0.0306165525364344,0.0008977098304918,0.00025676,0.35321,9.822942990221292e-06
ANKRD11,GGE,682,0.5531396696724371,0.5034065641579369,1.109126345405488e-05,0.0001256928974785,0.4672269538311622,0.34534,0.013123,1.031640605403204e-05
SCN1A,GGE,274,0.018561997943943,0.8654845312325168,0.0029143745097726,4.7621567744931455e-05,0.3422173366165661,0.099042,0.0024069,1.2665039735841802e-05
LGI1,NAFE,98,0.311850113327459,0.2556291637058994,0.0026334506672253,9.269645906953931e-06,0.0042526472222413,0.0078808,1.3712e-05,1.506918803906326e-05
NPRL2,NAFE,80,0.9549788327360118,0.1711841575758698,0.0248639673727252,9.187885351710605e-08,0.0056425557146993,,3.6181e-05,2.523092019258218e-05
ARV1,DEE,53,0.0001495497422554,0.4076376970710857,0.8092624006888076,4.7040595947913276e-07,0.6311457799156495,,0.10286,2.679786748987506e-05
CHD1,DEE,145,4.286757922608402e-07,0.922468966648536,0.6480849428946297,0.0596975449629312,0.0037741005876214,0.41593,0.17536,3.380107255474563e-05
GRIK2,DEE,73,0.0235338096548094,0.4029780166924227,0.0208694247053003,0.0014512009849803,0.5860730402731728,0.36883,0.11563,3.54465952380067e-05
RELN,EPI,1677,0.0493506544635667,0.7510563183935699,2.7701789533049207e-05,0.0858221187658692,0.4815180214809536,0.55611,0.094681,5.420672202611445e-05
GNAO1,DEE,56,0.5302077444286084,0.0614956956391601,0.0012099313146695,0.0989000803109622,0.0237425766010686,0.0028978,0.19346,5.433365695516566e-05
SLC6A1,EPI,104,0.9815884525743908,0.1695758685059634,6.652209577103467e-06,0.0627061388233555,0.2676450310375629,9.4924e-05,0.15922,6.295088815871241e-05
RELN,NAFE,1418,0.0505370029534591,0.1850164456321901,8.363634933482352e-05,0.1821378474553859,0.2763371509867059,0.42377,0.17468,6.691929791015783e-05
SCN2A,EPI,544,0.8113185397061387,0.9173507287497624,2.6060480894373917e-06,0.1356788881100802,0.2463879916790951,0.18774,0.34921,7.75493626903457e-05
GOT2,DEE,84,0.4906110794159335,0.9247987511836866,0.0263951521691047,1.892418460805364e-08,0.0716142004913954,,0.053325,9.03648583457392e-05
TSC1,NAFE,245,0.1550706652360584,0.2965341801190967,0.0189301653613348,1.6481472051975378e-06,0.0443135114291197,,0.0011139,9.750676429930348e-05
