Gene Name,Group,G4E,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Epi25 DM p-value,Epi25 PTV p-value,Unified Model p-value
SCN1A,DEE,True,273,4.848874880277709e-05,0.14961756841714743,3.627562620249994e-08,4.797277032016722e-20,0.7092941468846681,1.4439e-05,6.3195e-09,2.1724715824834027e-19
DEPDC5,NAFE,True,349,0.8364363971051714,0.03276724391950567,0.8525499863884064,9.309319752189952e-25,0.033612778549335615,0.32267,2.2e-16,5.989804183798481e-14
SP4,GGE,False,234,0.9334831789832667,0.6869073025748931,0.4188607117364367,0.9905974161295751,0.00012127887098555646,0.71125,0.035919,3.18377235884882e-12
SCN1A,EPI,True,440,0.031489782727449706,0.9854280025585175,5.061927027081708e-07,4.5511738664272173e-07,0.002817136586810115,0.00016047,3.4869e-08,1.1826347364601959e-11
DEPDC5,EPI,True,410,0.2218130200116154,0.060861699246604506,0.3408233378103679,2.578164122056145e-15,0.00032428443054716534,0.36857,3.4417e-15,7.578588280035886e-11
STXBP1,DEE,True,56,0.5119283748513979,0.40069514702103526,1.1594399466235278e-08,2.3179165341768725e-10,0.010356054682523286,8.429e-05,2.2243e-05,7.635633725627743e-11
SLC6A1,DEE,True,60,0.3389625785314321,0.3164048174044254,1.7279359316349566e-11,3.953466851233934e-07,0.1793236894702086,0.00017125,0.0018177,8.393358837109663e-11
SYNGAP1,DEE,True,154,0.11000670741597007,0.13588140432551735,0.8946085837228461,2.2638435542554574e-18,0.20210964987832203,0.19149,5.9462e-08,9.173854254600031e-11
KCNQ2,DEE,True,149,0.010230642720145422,0.5095123038570417,8.587124139075949e-07,0.2574347911931507,0.033507436110966515,0.034392,0.27467,4.447589144401546e-09
KANSL1,DEE,True,271,0.25136851654973674,0.7669646280650807,0.021207451361462275,0.043330846352357004,0.9989867628715957,,0.0004455,1.169679934037224e-08
KCNB1,DEE,True,121,0.05799762927581763,0.6568146166532576,0.00021291146553834573,7.446173620647693e-09,0.9900911122556398,0.0013155,0.00046125,1.4886446253345583e-08
ANKRD11,DEE,True,650,0.8203060320122127,0.014603333945096116,0.19717370019124683,6.669631826247061e-18,0.8394020748585904,0.1469,1.1956e-06,1.742238174021859e-08
TBL1XR1,DEE,True,46,0.5096239521711843,0.2413980759891152,1.1634688417016486e-07,,1.8694971587261768e-16,7.4407e-05,,3.365774711648676e-08
CACNA1A,GGE,True,289,0.00011292435882265883,0.02798246355291898,0.19844449185335675,4.13065354909135e-05,0.07247078494678266,0.14778,0.0078137,5.977892236639082e-08
CACNA1A,DEE,True,278,0.16967051308606038,0.5292530288451532,7.129828876489274e-07,0.00046840353144297887,0.5015711735606214,0.013135,0.36739,6.771123824165344e-08
SLC22A1,DEE,False,156,0.0007285268250674945,0.3234809214444305,0.00012873896483159048,2.04615296285119e-13,2.8348572175456848e-06,,0.041768,8.875053127747974e-08
SLC25A11,DEE,False,52,9.71167712127794e-07,0.2942681160642298,0.0005340302227943602,,5.137074023114965e-11,0.16316,,1.3968064607854344e-07
DYRK1A,DEE,True,95,0.948965888810407,0.3783693871576399,0.5614132561483646,2.656771833017145e-12,0.08373883044291953,0.71647,0.00034887,1.74659413065257e-07
OSTF1,GGE,False,31,0.11329854639290773,0.00014864953032984568,0.4343543361225318,5.980740911830861e-10,0.8572217545024403,,0.14793,1.9964021074567143e-07
YLPM1,DEE,False,439,8.067306824174984e-07,0.004682756117506495,0.5293955138712326,5.07193468823035e-10,2.6823944125831854e-13,0.56507,0.058091,2.331301626875183e-07
NPRL3,NAFE,True,164,0.9184930285234855,0.5315438837906457,0.012352755417514141,2.250587395548702e-10,0.0008649116805221859,,1.3519e-06,2.7284796769182935e-07
CCT7,DEE,False,92,3.4009262385641443e-09,0.8667452005212388,0.6239481028723715,0.045339172548745574,0.004237674428200701,,0.51281,3.502893376556838e-07
APOC3,DEE,False,32,1.5410157281487972e-08,0.05396380986887081,0.41455139553408304,0.005431996652578373,0.000749978394772157,,0.29426,3.960543031510011e-07
RYR2,GGE,False,720,0.7083090232014031,0.6458244705437177,0.12668436133179856,1.0287134647360592e-14,0.24919742933210154,0.64525,8.6024e-06,5.354624748724845e-07
CLK4,DEE,False,84,6.394974347992564e-05,0.0352566094033883,0.035992421271175745,0.006899411062630188,1.9828479023770565e-08,0.082112,0.79815,6.613119067204855e-07
SLC6A1,GGE,True,81,0.7840596017711347,0.172738717937379,8.615174950882328e-07,,0.0009433548904631195,3.0095e-06,,7.692427094653425e-07
KBTBD8,DEE,False,120,5.665786470715191e-08,0.5722785190750136,0.07986641121478658,0.0009603079168497716,9.707122752250236e-12,,0.70654,9.989731787491123e-07
ANKRD11,GGE,True,682,0.5075354480766866,0.02166830252557613,2.5597177614459046e-06,0.0001253937424543849,0.5626209761312762,0.34534,0.013123,1.065971300273157e-06
ATP2B2,DEE,True,191,0.00044350733717778726,0.14016131130130072,0.7411794204193132,2.889813024437405e-08,0.5299971729569858,0.20276,0.0062183,1.0838587532233597e-06
GABRB3,DEE,True,38,0.7531375938295246,0.9889713419890402,1.2053034879685622e-07,,3.6178952978343714e-08,0.0096158,,1.1860345417360066e-06
TTN,DEE,False,7773,2.74116431587367e-08,0.7096014629826595,0.19096312386835046,0.8659963469982785,0.9748062194861158,,0.46463,1.2266504312402983e-06
SATB1,DEE,True,84,0.24504233470466755,0.23383440520373608,0.6555273549769832,4.302822235724326e-11,0.04088574576937273,0.42869,0.044607,1.2330000960303814e-06
PSMA7,GGE,False,29,2.0132042528333439e-07,0.11158230850590885,0.09978551479795823,,0.293864959914938,0.48492,,1.3483194770773124e-06
EGF,DEE,False,268,9.067580570358335e-07,0.920924095082451,0.004875105232099701,1.457100125428443e-11,2.631310195763543e-29,,0.83303,1.6876671210085464e-06
CACNA1B,GGE,True,370,0.10315762972217776,0.13689989855695633,0.009487715077907882,3.441209723703287e-08,0.09143581510010282,0.021398,0.00024803,1.8043110062864027e-06
SETD1B,GGE,True,354,0.07256868198984764,0.43238545222422875,0.029457342749754926,1.351521373784355e-07,0.03647586515031049,0.27494,6.1394e-06,2.1532264627684038e-06
CYTH3,DEE,False,48,0.664572436238955,4.8435500563437254e-08,0.254080234175944,0.00032342674311304617,1.916472720020519e-06,0.29119,0.29802,2.8062356677628343e-06
ATAD2,NAFE,False,228,0.20835641406549485,0.5874861859221217,5.400402235296238e-07,0.026009597965928204,0.9862378608476902,,0.47713,2.84701743297476e-06
CHD2,DEE,True,221,0.1504463031736139,0.20853417112221034,0.02257984923828692,5.1027732977612456e-09,0.696667942394241,0.0002485,0.0034867,4.879427720641598e-06
CHD2,GGE,True,231,0.5249663911578861,0.4845182699640628,0.007746435436108782,3.973323583650802e-09,0.008333368767732137,0.97159,0.00044474,4.882539571107037e-06
SCN2A,DEE,True,212,0.48944493366691544,0.7381132577055627,5.171535928701881e-07,4.3092417348192505e-07,0.0003551026701461532,0.00041556,0.026317,5.262158451235106e-06
KIF26B,DEE,False,481,0.007155217658489934,0.047128182316173974,0.9071110193285916,2.6262255795941403e-14,0.03112514361734625,,0.00017721,5.398821318400049e-06
