gene_id	gene_name	group	n_variants	p_unified
ENSG00000000419	DPM1	DEE	58	0.15344063761668972
ENSG00000000419	DPM1	EPI	77	0.01171297410843426
ENSG00000000419	DPM1	GGE	66	0.024047938014296277
ENSG00000000419	DPM1	NAFE	62	0.06671972235710068
ENSG00000000457	SCYL3	DEE	138	0.06021300268311644
ENSG00000000457	SCYL3	EPI	181	0.798107389067087
ENSG00000000457	SCYL3	GGE	145	0.32872980522810397
ENSG00000000457	SCYL3	NAFE	152	0.45638247815949784
ENSG00000000460	C1orf112	DEE	139	0.7222793056876896
ENSG00000000460	C1orf112	EPI	183	0.011465442991550388
ENSG00000000460	C1orf112	GGE	150	0.7337950735922409
ENSG00000000460	C1orf112	NAFE	154	0.006051902501918381
ENSG00000000938	FGR	DEE	76	0.327620765058976
ENSG00000000938	FGR	EPI	109	0.9273046958106055
ENSG00000000938	FGR	GGE	82	0.5364289683073784
ENSG00000000938	FGR	NAFE	95	0.7215498950528136
ENSG00000000971	CFH	DEE	254	0.018640391641351978
ENSG00000000971	CFH	EPI	332	0.9167088193074493
ENSG00000000971	CFH	GGE	256	0.6880448423379396
ENSG00000000971	CFH	NAFE	285	0.9070565860462856
ENSG00000001036	FUCA2	DEE	102	0.09122420574310217
ENSG00000001036	FUCA2	EPI	136	0.9792280044157182
ENSG00000001036	FUCA2	GGE	107	0.30131210009400944
ENSG00000001036	FUCA2	NAFE	125	0.6529743042128788
ENSG00000001084	GCLC	DEE	56	0.8193112084835947
ENSG00000001084	GCLC	EPI	75	0.5127300095609972
ENSG00000001084	GCLC	GGE	53	0.0027922894319849477
ENSG00000001084	GCLC	NAFE	61	0.584729667859969
ENSG00000001167	NFYA	DEE	27	0.9008876581664431
ENSG00000001167	NFYA	EPI	37	0.652074397665031
ENSG00000001167	NFYA	GGE	25	0.9993776070381647
ENSG00000001167	NFYA	NAFE	33	0.7244406913203597
ENSG00000001460	STPG1	DEE	84	0.901579843275591
ENSG00000001460	STPG1	EPI	108	0.5942085827568753
ENSG00000001460	STPG1	GGE	88	0.9710784350024156
ENSG00000001460	STPG1	NAFE	99	0.8213932898148553
ENSG00000001461	NIPAL3	DEE	92	0.9503965754803472
ENSG00000001461	NIPAL3	EPI	113	0.2944927612248644
ENSG00000001461	NIPAL3	GGE	94	0.6238822831274442
ENSG00000001461	NIPAL3	NAFE	104	0.5340479682500466
ENSG00000001561	ENPP4	DEE	92	0.4215077548564471
ENSG00000001561	ENPP4	EPI	128	0.27111499184280163
ENSG00000001561	ENPP4	GGE	101	0.08629038691965761
ENSG00000001561	ENPP4	NAFE	109	0.05985147995086059
ENSG00000001617	SEMA3F	DEE	180	0.10592098697060583
ENSG00000001617	SEMA3F	EPI	238	0.8222622423688841
ENSG00000001617	SEMA3F	GGE	192	0.6020999592011976
ENSG00000001617	SEMA3F	NAFE	198	0.5775253119850354
ENSG00000001626	CFTR	DEE	362	0.8556337924251223
ENSG00000001626	CFTR	EPI	456	0.49094055473333853
ENSG00000001626	CFTR	GGE	376	0.9997788302660728
ENSG00000001626	CFTR	NAFE	393	0.45081346997971583
ENSG00000001629	ANKIB1	DEE	155	0.18404046175217942
ENSG00000001629	ANKIB1	EPI	202	0.7678842034897762
ENSG00000001629	ANKIB1	GGE	165	0.2424753077358382
ENSG00000001629	ANKIB1	NAFE	171	0.31755349795188703
ENSG00000001630	CYP51A1	DEE	68	0.712055765884943
ENSG00000001630	CYP51A1	EPI	103	0.7686607308489324
ENSG00000001630	CYP51A1	GGE	77	0.4258869783085639
ENSG00000001630	CYP51A1	NAFE	81	0.7541616808630722
ENSG00000001631	KRIT1	DEE	20	0.8238064027496472
ENSG00000001631	KRIT1	EPI	28	0.6899747643250029
ENSG00000001631	KRIT1	GGE	20	0.6658129786277821
ENSG00000001631	KRIT1	NAFE	22	0.7820145823408333
ENSG00000002016	RAD52	DEE	100	0.5893424669930803
ENSG00000002016	RAD52	EPI	142	0.788973091107294
ENSG00000002016	RAD52	GGE	112	0.3005537900950561
ENSG00000002016	RAD52	NAFE	114	0.6359315409444979
ENSG00000002330	BAD	DEE	32	0.3055379908693995
ENSG00000002330	BAD	EPI	37	0.227174429757724
ENSG00000002330	BAD	GGE	31	0.2265086545663107
ENSG00000002330	BAD	NAFE	33	0.36215234646799854
ENSG00000002549	LAP3	DEE	120	0.5752542798183296
ENSG00000002549	LAP3	EPI	160	0.7467003257857505
ENSG00000002549	LAP3	GGE	129	0.552282809590988
ENSG00000002549	LAP3	NAFE	128	0.850267816397362
ENSG00000002587	HS3ST1	DEE	79	0.9469422044279575
ENSG00000002587	HS3ST1	EPI	92	0.4464258678049252
ENSG00000002587	HS3ST1	GGE	81	0.14519314760186777
ENSG00000002587	HS3ST1	NAFE	83	0.8469687163966204
ENSG00000002726	AOC1	DEE	224	0.3047713679479515
ENSG00000002726	AOC1	EPI	285	0.10374225017638496
ENSG00000002726	AOC1	GGE	233	0.11303024682563634
ENSG00000002726	AOC1	NAFE	248	0.2562532575005915
ENSG00000002745	WNT16	DEE	82	0.1361236262155542
ENSG00000002745	WNT16	EPI	118	0.6272472627790491
ENSG00000002745	WNT16	GGE	92	0.5063698395799978
ENSG00000002745	WNT16	NAFE	96	0.9673684336572758
ENSG00000002746	HECW1	DEE	312	0.28056199083171823
ENSG00000002746	HECW1	EPI	415	0.11589932741628009
ENSG00000002746	HECW1	GGE	319	0.8413441814628027
ENSG00000002746	HECW1	NAFE	348	0.004639673396469153
ENSG00000002822	MAD1L1	DEE	226	0.5520613113995505
ENSG00000002822	MAD1L1	EPI	312	0.6484182404331609
ENSG00000002822	MAD1L1	GGE	241	0.38749902427877314
ENSG00000002822	MAD1L1	NAFE	272	0.28214694699528897
ENSG00000002834	LASP1	DEE	60	0.7290145064608946
ENSG00000002834	LASP1	EPI	70	0.3962657693802132
ENSG00000002834	LASP1	GGE	59	0.8364302744262404
ENSG00000002834	LASP1	NAFE	65	0.432287654914852
ENSG00000002919	SNX11	DEE	52	0.9967668013810774
ENSG00000002919	SNX11	EPI	74	0.718669255844441
ENSG00000002919	SNX11	GGE	55	0.15599656154193833
ENSG00000002919	SNX11	NAFE	63	0.41248243891490954
ENSG00000002933	TMEM176A	DEE	51	0.9918121137723843
ENSG00000002933	TMEM176A	EPI	66	0.8773764280478836
ENSG00000002933	TMEM176A	GGE	54	0.9344113145929348
ENSG00000002933	TMEM176A	NAFE	59	0.27416790204838765
ENSG00000003056	M6PR	DEE	52	0.8200455250800256
ENSG00000003056	M6PR	EPI	71	0.0668515663818764
ENSG00000003056	M6PR	GGE	55	0.38165425256508867
ENSG00000003056	M6PR	NAFE	62	0.06751919015584497
ENSG00000003137	CYP26B1	DEE	120	0.8453695283497051
ENSG00000003137	CYP26B1	EPI	143	0.893566465881946
ENSG00000003137	CYP26B1	GGE	123	0.6081494301395032
ENSG00000003137	CYP26B1	NAFE	131	0.9396395493292191
ENSG00000003147	ICA1	DEE	80	0.16563942540297788
ENSG00000003147	ICA1	EPI	104	0.7847460616817081
ENSG00000003147	ICA1	GGE	88	0.5204185657961522
ENSG00000003147	ICA1	NAFE	92	0.7360901561545588
ENSG00000003249	DBNDD1	DEE	46	0.985127998316104
ENSG00000003249	DBNDD1	EPI	58	0.6272845296409907
ENSG00000003249	DBNDD1	GGE	46	0.7555827707881315
ENSG00000003249	DBNDD1	NAFE	56	0.30389130609754034
ENSG00000003393	ALS2	DEE	335	0.048464779964463335
ENSG00000003393	ALS2	EPI	432	0.7474931432656402
ENSG00000003393	ALS2	GGE	349	0.9619197893335609
ENSG00000003393	ALS2	NAFE	363	0.7050781806804497
ENSG00000003400	CASP10	DEE	128	0.012255925755147942
ENSG00000003400	CASP10	EPI	161	0.15375695161010366
ENSG00000003400	CASP10	GGE	133	0.6327497643545372
ENSG00000003400	CASP10	NAFE	141	0.6299578329670167
ENSG00000003402	CFLAR	DEE	52	0.10759719469014813
ENSG00000003402	CFLAR	EPI	74	0.8892958989327061
ENSG00000003402	CFLAR	GGE	57	0.9406026541913493
ENSG00000003402	CFLAR	NAFE	64	0.25510075538094684
ENSG00000003436	TFPI	DEE	30	0.11923286856109559
ENSG00000003436	TFPI	EPI	39	0.6234535629344999
ENSG00000003436	TFPI	GGE	31	0.022157504788296728
ENSG00000003436	TFPI	NAFE	32	0.3964470997424533
ENSG00000003509	NDUFAF7	DEE	128	0.8567581676792918
ENSG00000003509	NDUFAF7	EPI	174	0.8655752240389916
ENSG00000003509	NDUFAF7	GGE	141	0.6629730465605694
ENSG00000003509	NDUFAF7	NAFE	149	0.5623458481407526
ENSG00000003756	RBM5	DEE	104	0.4002148944766427
ENSG00000003756	RBM5	EPI	129	0.8885145407198449
ENSG00000003756	RBM5	GGE	106	0.8045565552928231
ENSG00000003756	RBM5	NAFE	113	0.9492002491368914
ENSG00000003987	MTMR7	DEE	209	0.5464886378950996
ENSG00000003987	MTMR7	EPI	284	0.6877730227208796
ENSG00000003987	MTMR7	GGE	228	0.505360511932445
ENSG00000003987	MTMR7	NAFE	244	0.4935239902509747
ENSG00000003989	SLC7A2	DEE	198	0.2609200920399557
ENSG00000003989	SLC7A2	EPI	264	0.7336035390582405
ENSG00000003989	SLC7A2	GGE	212	0.7233693741163674
ENSG00000003989	SLC7A2	NAFE	220	0.30753258418528734
ENSG00000004059	ARF5	DEE	28	0.798487882717841
ENSG00000004059	ARF5	EPI	35	0.5525293745541524
ENSG00000004059	ARF5	GGE	30	0.4765618259998661
ENSG00000004059	ARF5	NAFE	33	0.3992912515075595
ENSG00000004139	SARM1	DEE	123	0.0024550251203878702
ENSG00000004139	SARM1	EPI	157	0.026814719896136284
