gene_id	gene_name	group	n_variants	p_unified
ENSG00000000419	DPM1	DEE	58	0.07094456574337198
ENSG00000000419	DPM1	EPI	77	0.00867557888153589
ENSG00000000419	DPM1	GGE	66	0.016704566793394365
ENSG00000000419	DPM1	NAFE	62	0.02039235383213195
ENSG00000000457	SCYL3	DEE	138	0.05028480845054434
ENSG00000000457	SCYL3	EPI	181	0.9284361148308592
ENSG00000000457	SCYL3	GGE	145	0.155170842014668
ENSG00000000457	SCYL3	NAFE	152	0.7139333728893495
ENSG00000000460	C1orf112	DEE	139	0.7301146875433367
ENSG00000000460	C1orf112	EPI	183	0.02428259884457206
ENSG00000000460	C1orf112	GGE	150	0.48744268644513034
ENSG00000000460	C1orf112	NAFE	154	0.007234309687643044
ENSG00000000938	FGR	DEE	76	0.06727523090734958
ENSG00000000938	FGR	EPI	109	0.5862238700148923
ENSG00000000938	FGR	GGE	82	0.5730688009134725
ENSG00000000938	FGR	NAFE	95	0.520545861831613
ENSG00000000971	CFH	DEE	254	0.0218232875205146
ENSG00000000971	CFH	EPI	332	0.6074497791531897
ENSG00000000971	CFH	GGE	256	0.7613686228343286
ENSG00000000971	CFH	NAFE	285	0.2217474773232535
ENSG00000001036	FUCA2	DEE	102	0.0918288676075608
ENSG00000001036	FUCA2	EPI	136	0.5857033005937182
ENSG00000001036	FUCA2	GGE	107	0.27596917708313146
ENSG00000001036	FUCA2	NAFE	125	0.842901176472125
ENSG00000001084	GCLC	DEE	56	0.4310314666621734
ENSG00000001084	GCLC	EPI	75	0.19619598140751496
ENSG00000001084	GCLC	GGE	53	0.0443299515181323
ENSG00000001084	GCLC	NAFE	61	0.2657975725619894
ENSG00000001167	NFYA	DEE	27	0.7623271171687492
ENSG00000001167	NFYA	EPI	37	0.5770573470231539
ENSG00000001167	NFYA	GGE	25	0.9990689550285338
ENSG00000001167	NFYA	NAFE	33	0.7352786188267061
ENSG00000001460	STPG1	DEE	84	0.9166074473701309
ENSG00000001460	STPG1	EPI	108	0.6495919748150243
ENSG00000001460	STPG1	GGE	88	0.9433230153371479
ENSG00000001460	STPG1	NAFE	99	0.8287414481460453
ENSG00000001461	NIPAL3	DEE	92	0.9228555375192496
ENSG00000001461	NIPAL3	EPI	113	0.5347329504832272
ENSG00000001461	NIPAL3	GGE	94	0.47345090376469334
ENSG00000001461	NIPAL3	NAFE	104	0.6627059812520253
ENSG00000001561	ENPP4	DEE	92	0.42035660262916363
ENSG00000001561	ENPP4	EPI	128	0.3596003252255471
ENSG00000001561	ENPP4	GGE	101	0.2155140838715309
ENSG00000001561	ENPP4	NAFE	109	0.04802569929768313
ENSG00000001617	SEMA3F	DEE	180	0.0630776754171697
ENSG00000001617	SEMA3F	EPI	238	0.7579201982552892
ENSG00000001617	SEMA3F	GGE	192	0.5643412161354906
ENSG00000001617	SEMA3F	NAFE	198	0.4916252685600515
ENSG00000001626	CFTR	DEE	362	0.9816024369330643
ENSG00000001626	CFTR	EPI	456	0.8834234278392002
ENSG00000001626	CFTR	GGE	376	0.9998765669883498
ENSG00000001626	CFTR	NAFE	393	0.4512374729952895
ENSG00000001629	ANKIB1	DEE	155	0.3214794112000811
ENSG00000001629	ANKIB1	EPI	202	0.37433196645993383
ENSG00000001629	ANKIB1	GGE	165	0.1940622860316818
ENSG00000001629	ANKIB1	NAFE	171	0.3869772807933133
ENSG00000001630	CYP51A1	DEE	68	0.5365603539617103
ENSG00000001630	CYP51A1	EPI	103	0.9089035411658948
ENSG00000001630	CYP51A1	GGE	77	0.8413269926576766
ENSG00000001630	CYP51A1	NAFE	81	0.8355138559752965
ENSG00000001631	KRIT1	DEE	20	0.8338081311837032
ENSG00000001631	KRIT1	EPI	28	0.5133893909965401
ENSG00000001631	KRIT1	GGE	20	0.2592138736325563
ENSG00000001631	KRIT1	NAFE	22	0.4382556785158297
ENSG00000002016	RAD52	DEE	100	0.5427094917964231
ENSG00000002016	RAD52	EPI	142	0.7196225524434462
ENSG00000002016	RAD52	GGE	112	0.7330853340857465
ENSG00000002016	RAD52	NAFE	114	0.7107442741216585
ENSG00000002330	BAD	DEE	32	0.2958359961088095
ENSG00000002330	BAD	EPI	37	0.22828121087732928
ENSG00000002330	BAD	GGE	31	0.11815300487841539
ENSG00000002330	BAD	NAFE	33	0.4287218340747706
ENSG00000002549	LAP3	DEE	120	0.2870092080085033
ENSG00000002549	LAP3	EPI	160	0.5387511470000097
ENSG00000002549	LAP3	GGE	129	0.5735558912950006
ENSG00000002549	LAP3	NAFE	128	0.4549140846016674
ENSG00000002587	HS3ST1	DEE	79	0.886968487938979
ENSG00000002587	HS3ST1	EPI	92	0.3418701744431824
ENSG00000002587	HS3ST1	GGE	81	0.7280432098294485
ENSG00000002587	HS3ST1	NAFE	83	0.7863245736276916
ENSG00000002726	AOC1	DEE	224	0.3095589606582543
ENSG00000002726	AOC1	EPI	285	0.1541788593734806
ENSG00000002726	AOC1	GGE	233	0.14059699920720148
ENSG00000002726	AOC1	NAFE	248	0.2030499501830956
ENSG00000002745	WNT16	DEE	82	0.5656064305095847
ENSG00000002745	WNT16	EPI	118	0.753079634672526
ENSG00000002745	WNT16	GGE	92	0.3479099964166195
ENSG00000002745	WNT16	NAFE	96	0.7731914010149104
ENSG00000002746	HECW1	DEE	312	0.3306057158109533
ENSG00000002746	HECW1	EPI	415	0.7494576728936362
ENSG00000002746	HECW1	GGE	319	0.9531861348294044
ENSG00000002746	HECW1	NAFE	348	0.42533302054772926
ENSG00000002822	MAD1L1	DEE	226	0.5721486763203936
ENSG00000002822	MAD1L1	EPI	312	0.682206819061725
ENSG00000002822	MAD1L1	GGE	241	0.9142608262963069
ENSG00000002822	MAD1L1	NAFE	272	0.2816340049549156
ENSG00000002834	LASP1	DEE	60	0.02666933964465728
ENSG00000002834	LASP1	EPI	70	0.1891866900840407
ENSG00000002834	LASP1	GGE	59	0.8397399139549849
ENSG00000002834	LASP1	NAFE	65	0.6684509929860016
ENSG00000002919	SNX11	DEE	52	0.7479235892070402
ENSG00000002919	SNX11	EPI	74	0.4513413914685833
ENSG00000002919	SNX11	GGE	55	0.22106081894114132
ENSG00000002919	SNX11	NAFE	63	0.40805327405953973
ENSG00000002933	TMEM176A	DEE	51	0.4969751244229611
ENSG00000002933	TMEM176A	EPI	66	0.5283915475220675
ENSG00000002933	TMEM176A	GGE	54	0.8451868498314158
ENSG00000002933	TMEM176A	NAFE	59	0.20571111426178756
ENSG00000003056	M6PR	DEE	52	0.0004553691855214296
ENSG00000003056	M6PR	EPI	71	0.023983902483684445
ENSG00000003056	M6PR	GGE	55	0.3765327638758186
ENSG00000003056	M6PR	NAFE	62	0.0358088894374868
ENSG00000003137	CYP26B1	DEE	120	0.7139333076363715
ENSG00000003137	CYP26B1	EPI	143	0.8136595061916342
ENSG00000003137	CYP26B1	GGE	123	0.7118441434410008
ENSG00000003137	CYP26B1	NAFE	131	0.8717725981990809
ENSG00000003147	ICA1	DEE	80	0.26271975388119223
ENSG00000003147	ICA1	EPI	104	0.8912641085385165
ENSG00000003147	ICA1	GGE	88	0.9686259879825196
ENSG00000003147	ICA1	NAFE	92	0.7903355953171457
ENSG00000003249	DBNDD1	DEE	46	0.9742875222107636
ENSG00000003249	DBNDD1	EPI	58	0.7904600142274228
ENSG00000003249	DBNDD1	GGE	46	0.5930621659117474
ENSG00000003249	DBNDD1	NAFE	56	0.6122381096277134
ENSG00000003393	ALS2	DEE	335	0.9899251756076705
ENSG00000003393	ALS2	EPI	432	0.9944766997996837
ENSG00000003393	ALS2	GGE	349	0.8166666120695205
ENSG00000003393	ALS2	NAFE	363	0.694319264246272
ENSG00000003400	CASP10	DEE	128	0.20925022806534868
ENSG00000003400	CASP10	EPI	161	0.43809216938282425
ENSG00000003400	CASP10	GGE	133	0.41931937342759973
ENSG00000003400	CASP10	NAFE	141	0.6570293996328588
ENSG00000003402	CFLAR	DEE	52	0.5543159736977774
ENSG00000003402	CFLAR	EPI	74	0.8704498493782783
ENSG00000003402	CFLAR	GGE	57	0.8630037218406242
ENSG00000003402	CFLAR	NAFE	64	0.36913193848868237
ENSG00000003436	TFPI	DEE	30	0.30250901361033367
ENSG00000003436	TFPI	EPI	39	0.6294170855300821
ENSG00000003436	TFPI	GGE	31	0.5956219819303628
ENSG00000003436	TFPI	NAFE	32	0.14135748295343611
ENSG00000003509	NDUFAF7	DEE	128	0.8071537085113697
ENSG00000003509	NDUFAF7	EPI	174	0.702539394253745
ENSG00000003509	NDUFAF7	GGE	141	0.6548250441523705
ENSG00000003509	NDUFAF7	NAFE	149	0.6507789652805126
ENSG00000003756	RBM5	DEE	104	0.04711141916974043
ENSG00000003756	RBM5	EPI	129	0.009273896727980832
ENSG00000003756	RBM5	GGE	106	0.6582059043681894
ENSG00000003756	RBM5	NAFE	113	0.6183660656499028
ENSG00000003987	MTMR7	DEE	209	0.1984327099174015
ENSG00000003987	MTMR7	EPI	284	0.8562552580951699
ENSG00000003987	MTMR7	GGE	228	0.4285528047837982
ENSG00000003987	MTMR7	NAFE	244	0.712180499510759
ENSG00000003989	SLC7A2	DEE	198	0.27347728728676174
ENSG00000003989	SLC7A2	EPI	264	0.8387248424689131
ENSG00000003989	SLC7A2	GGE	212	0.6181660748667226
ENSG00000003989	SLC7A2	NAFE	220	0.4799176971904251
ENSG00000004059	ARF5	DEE	28	0.7799833301887049
ENSG00000004059	ARF5	EPI	35	0.3915896281007205
ENSG00000004059	ARF5	GGE	30	0.3673703513818632
ENSG00000004059	ARF5	NAFE	33	0.30664636505417364
ENSG00000004139	SARM1	DEE	123	0.028024782016881643
ENSG00000004139	SARM1	EPI	157	0.037270407261660865
ENSG00000004139	SARM1	GGE	123	0.0048355708640586215
ENSG00000004139	SARM1	NAFE	128	0.17711830247708496
ENSG00000004142	POLDIP2	DEE	50	0.9866530850706509
ENSG00000004142	POLDIP2	EPI	66	0.3643490938917723
ENSG00000004142	POLDIP2	GGE	52	0.6361811966038933
ENSG00000004142	POLDIP2	NAFE	58	0.6789266510505931
ENSG00000004399	PLXND1	DEE	331	0.05816222008245834
ENSG00000004399	PLXND1	EPI	446	0.7827023962417325
ENSG00000004399	PLXND1	GGE	350	0.187884554804754
ENSG00000004399	PLXND1	NAFE	373	0.7836739457286241
ENSG00000004455	AK2	DEE	66	0.10491298148950991
ENSG00000004455	AK2	EPI	75	0.7700796786542019
ENSG00000004455	AK2	GGE	68	0.1867450433547463
ENSG00000004455	AK2	NAFE	73	0.6971368730040352
ENSG00000004468	CD38	DEE	49	0.9710935454586118
ENSG00000004468	CD38	EPI	63	0.6948107007284228
ENSG00000004468	CD38	GGE	51	0.44496349084989706
ENSG00000004468	CD38	NAFE	55	0.8678994477871953
ENSG00000004478	FKBP4	DEE	88	0.566577385621635
ENSG00000004478	FKBP4	EPI	117	0.9557816201098215
ENSG00000004478	FKBP4	GGE	95	0.1160351978072257
ENSG00000004478	FKBP4	NAFE	107	0.8308457728131725
ENSG00000004487	KDM1A	DEE	54	0.8610667363759648
ENSG00000004487	KDM1A	EPI	79	0.675141265574728
ENSG00000004487	KDM1A	GGE	61	0.7335411846417044
ENSG00000004487	KDM1A	NAFE	65	0.7180452775132713
ENSG00000004534	RBM6	DEE	191	0.9734041768860542
ENSG00000004534	RBM6	EPI	268	0.5123820055493846
ENSG00000004534	RBM6	GGE	197	0.7084019676648261
ENSG00000004534	RBM6	NAFE	224	0.7118574041951122
ENSG00000004660	CAMKK1	DEE	139	0.11587290207973963
ENSG00000004660	CAMKK1	EPI	182	0.9214116396833849
ENSG00000004660	CAMKK1	GGE	145	0.2678912281839062
ENSG00000004660	CAMKK1	NAFE	156	0.9211924773450764
