gene_id	gene_name	group	n_variants	p_unified
ENSG00000000419	DPM1	DEE	58	0.5617097976310039
ENSG00000000419	DPM1	EPI	77	0.7340712764123666
ENSG00000000419	DPM1	GGE	66	0.9531268961668913
ENSG00000000419	DPM1	NAFE	62	0.4642317908498145
ENSG00000000457	SCYL3	DEE	138	0.3798386283778684
ENSG00000000457	SCYL3	EPI	181	0.8678305130850275
ENSG00000000457	SCYL3	GGE	145	0.24754868574877198
ENSG00000000457	SCYL3	NAFE	152	0.4705256571635905
ENSG00000000460	C1orf112	DEE	139	0.7913706032833988
ENSG00000000460	C1orf112	EPI	183	0.013863065873695814
ENSG00000000460	C1orf112	GGE	150	0.5162337119951597
ENSG00000000460	C1orf112	NAFE	154	0.007264506593173911
ENSG00000000938	FGR	DEE	76	0.06965145942843738
ENSG00000000938	FGR	EPI	109	0.5800377977596739
ENSG00000000938	FGR	GGE	82	0.3392925025102987
ENSG00000000938	FGR	NAFE	95	0.5259450081098882
ENSG00000000971	CFH	DEE	254	0.12015844569736099
ENSG00000000971	CFH	EPI	332	0.6398504850542805
ENSG00000000971	CFH	GGE	256	0.6350991568295987
ENSG00000000971	CFH	NAFE	285	0.22623189406540287
ENSG00000001036	FUCA2	DEE	102	0.08152693837126426
ENSG00000001036	FUCA2	EPI	136	0.5885863782913676
ENSG00000001036	FUCA2	GGE	107	0.7915217258817103
ENSG00000001036	FUCA2	NAFE	125	0.5985155043252907
ENSG00000001084	GCLC	DEE	56	0.40804967802744896
ENSG00000001084	GCLC	EPI	75	0.5159597951263113
ENSG00000001084	GCLC	GGE	53	0.08888940511617847
ENSG00000001084	GCLC	NAFE	61	0.42865899366461513
ENSG00000001167	NFYA	DEE	27	0.8027760412232406
ENSG00000001167	NFYA	EPI	37	0.5465082746374008
ENSG00000001167	NFYA	GGE	25	0.9996213470660551
ENSG00000001167	NFYA	NAFE	33	0.7072960576263644
ENSG00000001460	STPG1	DEE	84	0.8305850099617206
ENSG00000001460	STPG1	EPI	108	0.7548263405768689
ENSG00000001460	STPG1	GGE	88	0.9363233719113797
ENSG00000001460	STPG1	NAFE	99	0.8607748679821773
ENSG00000001461	NIPAL3	DEE	92	0.9732295145203654
ENSG00000001461	NIPAL3	EPI	113	0.25378786457698804
ENSG00000001461	NIPAL3	GGE	94	0.5925422860173868
ENSG00000001461	NIPAL3	NAFE	104	0.8057581909288618
ENSG00000001561	ENPP4	DEE	92	0.8572652869940158
ENSG00000001561	ENPP4	EPI	128	0.3397576684064656
ENSG00000001561	ENPP4	GGE	101	0.18922847351116548
ENSG00000001561	ENPP4	NAFE	109	0.41304322867144394
ENSG00000001617	SEMA3F	DEE	180	0.1894642476990752
ENSG00000001617	SEMA3F	EPI	238	0.829550634445411
ENSG00000001617	SEMA3F	GGE	192	0.46496381492784955
ENSG00000001617	SEMA3F	NAFE	198	0.5492677832116074
ENSG00000001626	CFTR	DEE	362	0.8352045015678762
ENSG00000001626	CFTR	EPI	456	0.6174930432697965
ENSG00000001626	CFTR	GGE	376	0.999827931969706
ENSG00000001626	CFTR	NAFE	393	0.9966925691279858
ENSG00000001629	ANKIB1	DEE	155	0.2031498370242893
ENSG00000001629	ANKIB1	EPI	202	0.382156853219255
ENSG00000001629	ANKIB1	GGE	165	0.07178105958491052
ENSG00000001629	ANKIB1	NAFE	171	0.3748934432453589
ENSG00000001630	CYP51A1	DEE	68	0.7286042191737266
ENSG00000001630	CYP51A1	EPI	103	0.8329071432883903
ENSG00000001630	CYP51A1	GGE	77	0.4392819004957452
ENSG00000001630	CYP51A1	NAFE	81	0.8353173471687652
