gene_id	gene_name	group	n_variants	p_gerp	p_pathogenicity	p_pLoF	p_missense	p_unified	p_constraint
ENSG00000000419	DPM1	DEE	58	0.1918905226518343	0.07576285058451976	0.00011017549955832524	0.2007628135553465	0.1377132505961119	0.9697469444594802
ENSG00000000419	DPM1	EPI	77	0.27777684536043273	0.624290791408797	0.00026585432684955024	0.020259983102945026	0.0164239793783691	0.46001473512087343
ENSG00000000419	DPM1	GGE	66	0.37355964876243775	0.8339602898093852	2.2994834537678194e-05	0.4605891872359532	0.03769985552813024	0.8871880892183918
ENSG00000000419	DPM1	NAFE	62	0.08816745631951063	0.0985932314383426	0.0012167134297253032	0.10978039928268585	0.038960751718262174	0.5430526949847205
ENSG00000000457	SCYL3	DEE	138	0.489327243044965	0.12431097303264162	3.3640130654593586e-10	5.336532948417644e-08	0.09705411463532918	0.7761409671480375
ENSG00000000457	SCYL3	EPI	181	0.7969434432341453	0.9020791369647779	0.30598613138687414	0.8644498021930795	0.8979195168470391	0.43220634612427034
ENSG00000000457	SCYL3	GGE	145	0.09891870436903911	0.8224126607350548	0.001087262808509099	0.061109280563937815	0.18617631920713912	0.3298756551436446
ENSG00000000457	SCYL3	NAFE	152	0.9787488081861486	0.21908187368627663	0.28284997494842407	0.008954310343590729	0.6271394276505402	0.2681720377148881
ENSG00000000460	C1orf112	DEE	139	0.8227232253264378	0.38826445674062915	0.001597285820349158	1.6050899495109318e-11	0.848573161809935	0.7735998074033895
ENSG00000000460	C1orf112	EPI	183	0.7686274693515808	0.0038019239605200958	0.486125725831861	0.5146612121687477	0.02540978873306925	0.19166930022229295
ENSG00000000460	C1orf112	GGE	150	0.28088571869109913	0.23169840518365756	0.03426958175955707	0.009150189249955493	0.6534644346680232	0.8731898963350304
ENSG00000000460	C1orf112	NAFE	154	0.9428105502337685	0.0008286363472436255	0.1487641180004568	0.40022699340146484	0.014665513660370798	0.53536172046579
ENSG00000000938	FGR	DEE	76	0.04497066357685339	0.2073313830111147	0.0031116315170080233	0.0004235270689886872	0.11050495529149734	0.5174012524477151
ENSG00000000938	FGR	EPI	109	0.20971393236260752	0.7944067320198923	0.900079301561221	0.5052851642403523	0.7256093032566711	0.7198940595668188
ENSG00000000938	FGR	GGE	82	0.2768349980703757	0.4009568644853657	0.5253335277535942	0.09562287928412155	0.4980994873005191	0.24379898458346033
ENSG00000000938	FGR	NAFE	95	0.3303144347264728	0.24129331589023922	0.3578144987675397	0.3279923282336691	0.6829373900628859	0.838584521462912
ENSG00000000971	CFH	DEE	254	0.9937844864932841	0.02268193778354459	5.4881824283020676e-05	0.04455231896117047	0.04091414010594073	0.5585969444351562
ENSG00000000971	CFH	EPI	332	0.2282971350227763	0.5595854898688746	0.5043629010959672	0.7974145255640174	0.7417866516562506	0.713426860905116
ENSG00000000971	CFH	GGE	256	0.5799635441930282	0.4346738721410298	0.6238923783348227	0.07610627350424183	0.7760980658829961	0.433398201942059
ENSG00000000971	CFH	NAFE	285	0.04430921503529908	0.8258145142227076	0.9053045220849778	0.18514542479531562	0.32871500851792235	0.6321817739538869
ENSG00000001036	FUCA2	DEE	102	0.4509030823769419	0.01478813578189659	5.02981919065957e-08	1.069387337232127e-11	0.13564189011704406	0.4450963652058
ENSG00000001036	FUCA2	EPI	136	0.1851992090917035	0.7571735642348765	0.5124193098290715	0.6334491338813026	0.7422863751632318	0.8515530986294064
ENSG00000001036	FUCA2	GGE	107	0.44912315804464686	0.702902346581931	0.00015073668701031173	0.10820473127388255	0.37735612935835067	0.5472744585004363
ENSG00000001036	FUCA2	NAFE	125	0.49514719120730166	0.8392277920039295	0.10589176507749987	0.1882029825046207	0.7187024043865491	0.2629557629543655
ENSG00000001084	GCLC	DEE	56	0.16715370944026897	0.34048983265347	0.04830338895597239	0.00027876276531795815	0.5779977067015591	0.7001213956118257
ENSG00000001084	GCLC	EPI	75	0.11948356308720218	0.30607866414501256	0.05459642375828538	0.42271184541009843	0.31299703340865065	0.7490306901968036
ENSG00000001084	GCLC	GGE	53	0.5974667535295066	0.8892856838281664	9.86171072227894e-05	0.8667657655592588	0.0066121273661372245	0.013971923324405604
ENSG00000001084	GCLC	NAFE	61	0.11991703674956361	0.32646347842318757	0.05710839506248387	0.9542199177214736	0.3537473030407111	0.49340002336836386
ENSG00000001167	NFYA	DEE	27	0.4597392883770064	0.5327427641495791	0.3764575891426276	0.02489655512600363	0.8860117196488633	0.90318579969975
ENSG00000001167	NFYA	EPI	37	0.442339260615612	0.4575223171449666	0.744294856009839	0.8331723046942615	0.6944163807931583	0.606453690061034
ENSG00000001167	NFYA	GGE	25	0.9325575356241554	0.9672045594071068	0.368369236666818	0.09253673522226871	0.9999227265064226	0.9626424302297875
ENSG00000001167	NFYA	NAFE	33	0.7481941025892563	0.3317366359190759	0.6596296537174331	0.2529856008178298	0.8432503341279789	0.7027655469810716
ENSG00000001460	STPG1	DEE	84	0.5356998242485723	0.707698492053925	8.248656012417006e-06	6.639152941612846e-10	0.9151061370880913	0.5028272410757346
ENSG00000001460	STPG1	EPI	108	0.655621034259794	0.43553766652729065	0.39991894035020514	0.30082662378813674	0.7194062721013563	0.503783074169024
ENSG00000001460	STPG1	GGE	88	0.6141762394446253	0.9572745402323807	0.20181915023840483	0.0056055905089142126	0.9738692737618713	0.7384615860262862
ENSG00000001460	STPG1	NAFE	99	0.8712779488870501	0.42121182261676926	0.7521435378466967	0.10832675238729722	0.9189658736734609	0.8128239898222382
ENSG00000001461	NIPAL3	DEE	92	0.7106607604777535	0.8786006767675323	0.20240307723850903	0.00015145752001595575	0.974673200233787	0.9262455198184358
ENSG00000001461	NIPAL3	EPI	113	0.3934951267601958	0.3804067654137142	0.5226319967716337	0.5936589087357529	0.3507573843873075	0.13581231384489356
ENSG00000001461	NIPAL3	GGE	94	0.38186334010572376	0.18803288585869035	0.9155814748388658	0.039041211002662016	0.6398382600524066	0.8622285510603311
ENSG00000001461	NIPAL3	NAFE	104	0.9681713485606693	0.5027567462752283	0.12943418208294827	0.8279711298469576	0.7026932112341184	0.44104394625476584
ENSG00000001561	ENPP4	DEE	92	0.9323052858637806	0.3922231652463336	0.08113859334795981	2.354408556089068e-10	0.5912409751185517	0.9851643098142496
ENSG00000001561	ENPP4	EPI	128	0.8603261185355816	0.1215963074445153	0.17247122877200188	0.7147888452854544	0.4158930637842826	0.39728016845283975
ENSG00000001561	ENPP4	GGE	101	0.9250194257573208	0.14341984591568543	0.7437370630543119	3.566197184608175e-05	0.16093108151012442	0.1484131037311741
ENSG00000001561	ENPP4	NAFE	109	0.45739227907732527	0.35315084993419	0.0013900774450864876	0.7722978444470371	0.09391042525330412	0.7921775229697094
ENSG00000001617	SEMA3F	DEE	180	0.20500141102476196	0.054747943282841834	9.218926075877024e-05	0.007595303657875347	0.10228753460880963	0.5047478665030707
ENSG00000001617	SEMA3F	EPI	238	0.5642160771796807	0.5495351036365069	0.6733160344796051	0.3447767662399116	0.8705090738442924	0.7938000370767806
ENSG00000001617	SEMA3F	GGE	192	0.35784637691424115	0.38208707441756673	0.5705903594915527	0.024235198751792045	0.6080537713307608	0.4138664843101054
ENSG00000001617	SEMA3F	NAFE	198	0.34833595785510363	0.44777705014169067	0.7021507760643413	0.07448622422571842	0.5820933351451298	0.5030086938228351
ENSG00000001626	CFTR	DEE	362	0.7556280571058036	0.7692561633861116	7.472726799554663e-10	4.8157462037517345e-23	0.9287739103963523	0.40506843671309267
ENSG00000001626	CFTR	EPI	456	0.8824139319664236	0.859740406129996	0.1853197095840628	0.9109053653855419	0.6565313161522354	0.1831000723713877
ENSG00000001626	CFTR	GGE	376	0.9754896004055436	0.9611285884811149	0.0072448269183476395	7.86839485915026e-06	0.9999880471728044	0.9509375782264572
ENSG00000001626	CFTR	NAFE	393	0.897172617888901	0.8042108511310355	0.0006817990416482401	0.15892856410066786	0.6176963185564617	0.8899794123702237
ENSG00000001629	ANKIB1	DEE	155	0.7416043650158979	0.24398888076221795	0.005174103816879823	0.00024633691007070965	0.294359605403802	0.23100055391794613
ENSG00000001629	ANKIB1	EPI	202	0.14431840846334865	0.5027969219288229	0.7964233048484979	0.37402691101872454	0.511671979278955	0.6757417209782877
ENSG00000001629	ANKIB1	GGE	165	0.0949435999654876	0.10915737337197907	0.33373126267621556	0.04930108082941738	0.13676486325439044	0.13240947717109675
ENSG00000001629	ANKIB1	NAFE	171	0.9623198724207852	0.10963675120785181	0.9201132002978372	0.09513989421792036	0.4753702670874079	0.48353115748222397
ENSG00000001630	CYP51A1	DEE	68	0.4177452043647094	1.460723487206791e-18	3.720152520855669e-09	1.0363013802622908e-17	0.7194555402656515	0.7473934178869481
ENSG00000001630	CYP51A1	EPI	103	0.9110531826573672	0.05154041167245329	0.20787711243072532	0.07183713732147501	0.9108753753716953	0.5583122901159641
ENSG00000001630	CYP51A1	GGE	77	0.7294749817198116	2.772435077731176e-05	0.052764305068121325	2.3789205495012693e-08	0.6112917690189887	0.2279423597783586
ENSG00000001630	CYP51A1	NAFE	81	0.819242064019646	0.000527864711965059	0.046156781054436866	0.0001414538101640482	0.8933215327621686	0.6148542949658287
ENSG00000001631	KRIT1	DEE	20	0.833873231877102	0.6561213735621609		0.0005364784149019915	0.9355163574393309	0.7972415346521342
ENSG00000001631	KRIT1	EPI	28	0.22850717286312672	0.5488364008049869		0.9991366187184274	0.5245877010901296	0.34435806082268083
ENSG00000001631	KRIT1	GGE	20	0.162096293520713	0.2780842748053659		0.24064276283306618	0.4129119391323906	0.6294696877894064
ENSG00000001631	KRIT1	NAFE	22	0.23296409696746714	0.5216314822795393		0.533202342198233	0.5765255532136679	0.5511447099091269
ENSG00000002016	RAD52	DEE	100	0.19671194857251154	0.9986547390255629	0.00022171040420505844	2.707928694568825e-11	0.4625316808300908	0.22937290267170787
ENSG00000002016	RAD52	EPI	142	0.5871217934868196	0.941504215512048	0.6060336964236172	0.057123317592080065	0.8536900679442055	0.9217756034555947
ENSG00000002016	RAD52	GGE	112	0.9606718259751541	0.7012837407560936	0.007608680705650233	0.03768618745584002	0.45605779311365857	0.12643687297498263
ENSG00000002016	RAD52	NAFE	114	0.6948720707479071	0.5618824007896901	0.8089720615216827	0.024652611890495935	0.7628235567103897	0.49085049813728443
ENSG00000002330	BAD	DEE	32	0.784280541907719	0.07306158085529894	0.10172357731155447	0.004623977410119913	0.45788212067170864	0.9722858871526932
ENSG00000002330	BAD	EPI	37	0.3405727655262434	0.06455680664512152	0.290165782501126	0.4426064178592436	0.26527569545991664	0.33768056207879416
ENSG00000002330	BAD	GGE	31	0.13713013300002477	0.06811227189247322	0.050907486137531655	0.49945800091263637	0.15871416919745832	0.37254830365776226
ENSG00000002330	BAD	NAFE	33	0.6901108511741978	0.08658729164671143	0.8789804686962608	0.3413793120343177	0.5074792520862226	0.4545367738517555
ENSG00000002549	LAP3	DEE	120	0.12534888616194073	0.14424812893427658	0.0018421837959339833	5.572068073217789e-07	0.35978550461798847	0.44134275277877355
ENSG00000002549	LAP3	EPI	160	0.3307668393867902	0.6376294018725206	0.4039940790604052	0.23261067252954507	0.7031656154826768	0.891612789013988
ENSG00000002549	LAP3	GGE	129	0.9512377532061489	0.17065123828933249	0.24322127711898608	0.033823280141434	0.7185581970332582	0.7449836972243478
ENSG00000002549	LAP3	NAFE	128	0.12494287276372709	0.809927121090342	0.6818057875683897	0.21073001805407277	0.5287613909757926	0.452131787423647
ENSG00000002587	HS3ST1	DEE	79	0.6007169595582633	0.5173655412494924	0.04566820393077979	0.00298289044800342	0.9580316354176821	0.9322474149202203
ENSG00000002587	HS3ST1	EPI	92	0.21190061037818297	0.36865867097678706	0.18622503888112485	0.14744995751188733	0.37530068924326726	0.3439610209596241
ENSG00000002587	HS3ST1	GGE	81	0.3785327351560789	0.6398834262300475	0.8789837191585912	0.053129846786816086	0.18835165268635698	0.02914996240858701
ENSG00000002587	HS3ST1	NAFE	83	0.5988085272726472	0.44387444079373073	0.9303755467408172	0.17863150719460294	0.8962634965146348	0.8584018203602777
ENSG00000002726	AOC1	DEE	224	0.8370832175130477	0.06963956682196859	0.00016409478609229216	9.852391829156348e-15	0.4539088255198327	0.7768996967409687
ENSG00000002726	AOC1	EPI	285	0.7348103407004543	0.015135427854129517	0.7973863996372818	0.3657553861256141	0.17974928894048714	0.3118908480445813
ENSG00000002726	AOC1	GGE	233	0.5221489394433898	0.036301650452842574	0.0044336299855573915	0.004430143535731255	0.17315128880192418	0.3404380088816148
ENSG00000002726	AOC1	NAFE	248	0.45027073417868835	0.04418596553040987	0.16860247326016775	0.05218603698748816	0.3292579939517262	0.8948273689644933
ENSG00000002745	WNT16	DEE	82	0.7963471252038895	0.21512678296971055	0.022554284031295148	3.769037919343468e-06	0.23325548886318626	0.061846772897493955
ENSG00000002745	WNT16	EPI	118	0.9357275653290072	0.41793869491621305	0.24676656503371927	0.7950363606118305	0.7829483454679553	0.4619764835048188
ENSG00000002745	WNT16	GGE	92	0.10431335440772051	0.6759693986724886	0.09622216257498192	0.09493388600998394	0.2870338403551444	0.1930433977843367
ENSG00000002745	WNT16	NAFE	96	0.32768399559223127	0.8910879260599425	0.3590597012812887	0.30059561037857657	0.8727369141491003	0.7286032066553835
ENSG00000002746	HECW1	DEE	312	0.14193071909795205	0.4194431895853482	0.08988667475060988	0.00011037267811128286	0.19990173893143243	0.10974378676010216
ENSG00000002746	HECW1	EPI	415	0.4651491088298919	0.8213488952501193	0.634662892772683	0.3038915686661672	0.16850478842375077	0.022466540874831412
ENSG00000002746	HECW1	GGE	319	0.9722745192757025	0.6706613293701962	0.5932654311129086	0.04998422697189279	0.9338624850153057	0.48114127127502193
ENSG00000002746	HECW1	NAFE	348	0.22966966965185776	0.6770711362304164	0.6884838017423363	0.08077514539900844	0.006045040170954807	0.0006618406065917494
ENSG00000002822	MAD1L1	DEE	226	0.7366225159462669	0.2897338381599312	0.0005668427177926869	1.7521601185721119e-15	0.6974886252225818	0.6465638717654769
ENSG00000002822	MAD1L1	EPI	312	0.7772147202997695	0.2769121158315884	0.29556096793267306	0.6527137697106022	0.7859191741297945	0.6334307122133448
ENSG00000002822	MAD1L1	GGE	241	0.7514149097685178	0.5012778122836409	0.0647440570987916	0.00014092651882264466	0.5377073939078173	0.10786801337892869
ENSG00000002822	MAD1L1	NAFE	272	0.8259620538906792	0.12459874904250179	0.007631491839980484	0.13930953223853101	0.4257767387344369	0.8339583400829323
ENSG00000002834	LASP1	DEE	60	0.005476629704850459	0.7091789911717417	0.0016715415096266715	1.8871013752945003e-07	0.05602643498522049	0.769051661935292
ENSG00000002834	LASP1	EPI	70	0.13221668277726828	0.8108153188106046	0.1395773535102603	0.10397495605735585	0.26110776152485815	0.47205675530543445
ENSG00000002834	LASP1	GGE	59	0.9806998186032404	0.6932835656361713	0.600241129320061	0.0034123108692562763	0.9320172365205804	0.9062900511050663
ENSG00000002834	LASP1	NAFE	65	0.8058353577533606	0.6815618435829401	0.6202143237718976	0.021656630753506906	0.5941897761289139	0.2715540045126453
ENSG00000002919	SNX11	DEE	52	0.2764652912420513	0.8993379050561827	0.1624894013214505	0.0017980279339558669	0.8655947572405375	0.799432499906608
ENSG00000002919	SNX11	EPI	74	0.25836419177755265	0.735061476745814	0.14334744735844687	0.509486268252076	0.6197965699330672	0.8797003740958523
ENSG00000002919	SNX11	GGE	55	0.9718008690673055	0.3913246267412074	0.0028643171053939873	0.8188239443029327	0.2697851727919613	0.3735701160821828
ENSG00000002919	SNX11	NAFE	63	0.8149075935585003	0.2607481440027662	0.0718533128974414	0.6150090724033956	0.5747926430924566	0.8668704953977333
ENSG00000002933	TMEM176A	DEE	51	0.138535338510165	0.6977333392850182	0.005577470991987507	2.9071915799770664e-06	0.6690212067292656	0.9295741867957157
ENSG00000002933	TMEM176A	EPI	66	0.2181044295157084	0.7652931373171932	0.4006175061654743	0.985156018816155	0.6934060124917398	0.8627879957405713
ENSG00000002933	TMEM176A	GGE	54	0.5317994593222095	0.9508299930131398	0.06679699729412977	0.15365995098240529	0.9348501808824368	0.8980920776401937
ENSG00000002933	TMEM176A	NAFE	59	0.3855739390869566	0.29156482520178656	0.026020982481107208	0.912002332491473	0.32822273259284984	0.76726793143038
ENSG00000003056	M6PR	DEE	52	4.469607597487704e-05	0.36327645021125343	0.0027321339623627627	1.5667375613643058e-08	0.001185734673108738	0.5574490143034968
ENSG00000003056	M6PR	EPI	71	0.07363752866178795	0.09134556383942197	0.10480674282356349	0.03895249082184314	0.03446724706646588	0.3194207578941666
ENSG00000003056	M6PR	GGE	55	0.712308863287529	0.21268446364089774	0.9241514474673714	0.007169733936775613	0.5289515098600928	0.7480806503987162
