gene_id	gene_name	g4e	p_unified	epi25_min_p	meta_sig
ENSG00000000419	DPM1	True	0.027015100479216694	0.00032439	False
ENSG00000000457	SCYL3	False	0.06398739710889295	0.021013	False
ENSG00000000460	C1orf112	False	0.013350113778160998	0.59299	False
ENSG00000000938	FGR	False	0.479021077541145	0.30169	False
ENSG00000000971	CFH	False	0.01923645737755508	0.12033	False
ENSG00000001036	FUCA2	False	0.07233494498852666	0.16881	False
ENSG00000001084	GCLC	False	0.003882604274327984	0.046182	False
ENSG00000001167	NFYA	False	0.5367316405539903	0.34342	False
ENSG00000001460	STPG1	False	0.3151602361734907	0.27327	False
ENSG00000001461	NIPAL3	False	0.3887900918793123	0.45753	False
ENSG00000001561	ENPP4	False	0.03657849404539169	0.018305	False
ENSG00000001617	SEMA3F	False	0.1610587573034194	0.02696	False
ENSG00000001626	CFTR	False	0.6206522780290813	0.15467	False
ENSG00000001629	ANKIB1	False	0.22566110785346777	0.22397	False
ENSG00000001630	CYP51A1	False	0.5914114879750967	0.19398	False
ENSG00000001631	KRIT1	True	0.44403337647217733		False
ENSG00000002016	RAD52	False	0.19451631009790737	0.301	False
ENSG00000002330	BAD	False	0.011839144383528843	0.21549	False
ENSG00000002549	LAP3	False	0.602741137190778	0.56636	False
ENSG00000002587	HS3ST1	False	0.21793296542814644	0.19086	False
ENSG00000002726	AOC1	False	0.15327238057302295	0.26938	False
ENSG00000002745	WNT16	False	0.1773916540791493	0.14748	False
ENSG00000002746	HECW1	False	0.010711497551009324	0.55121	False
ENSG00000002822	MAD1L1	False	0.43151030804977764	0.1312	False
ENSG00000002834	LASP1	False	0.5371431407928353	0.025622	False
ENSG00000002919	SNX11	False	0.2586982585593554	0.033969	False
ENSG00000002933	TMEM176A	False	0.3845769972973815	0.22964	False
ENSG00000003056	M6PR	False	0.12770130961430085	0.10392	False
ENSG00000003137	CYP26B1	False	0.7081151108816728	0.095559	False
ENSG00000003147	ICA1	False	0.20997068774314082	0.30056	False
ENSG00000003249	DBNDD1	False	0.46046742227004833	0.28117	False
ENSG00000003393	ALS2	False	0.09490368711508726	0.42468	False
ENSG00000003400	CASP10	False	0.02818149699329637	0.097512	False
ENSG00000003402	CFLAR	False	0.0454617377052379	0.12686	False
ENSG00000003436	TFPI	False	0.051077632760272516	0.3143	False
ENSG00000003509	NDUFAF7	False	0.3465352274259373	0.37843	False
ENSG00000003756	RBM5	False	0.44075967493711443	0.030427	False
ENSG00000003987	MTMR7	False	0.5991033061058244	0.41055	False
ENSG00000003989	SLC7A2	False	0.142272320098603	0.10054	False
ENSG00000004059	ARF5	False	0.23531428745106642	0.14534	False
ENSG00000004139	SARM1	False	0.001343205774505769	0.053823	False
ENSG00000004142	POLDIP2	False	0.23150822451328745	0.41667	False
ENSG00000004399	PLXND1	False	0.00035505370581698155	0.031139	False
ENSG00000004455	AK2	False	0.16003266295396712	0.35968	False
ENSG00000004468	CD38	False	0.10852544695448409	0.34106	False
ENSG00000004478	FKBP4	False	0.6306572876954251	0.43276	False
ENSG00000004487	KDM1A	False	0.6570382060423314	0.087983	False
