gene_id	gene_name	g4e	p_unified	epi25_min_p	meta_sig
ENSG00000000419	DPM1	True	0.0164239793783691	0.00032439	False
ENSG00000000457	SCYL3	False	0.09705411463533035	0.021013	False
ENSG00000000460	C1orf112	False	0.014665513660370798	0.59299	False
ENSG00000000938	FGR	False	0.11050495529149806	0.30169	False
ENSG00000000971	CFH	False	0.04091414010594073	0.12033	False
ENSG00000001036	FUCA2	False	0.1356418901170445	0.16881	False
ENSG00000001084	GCLC	False	0.006612127366137265	0.046182	False
ENSG00000001167	NFYA	False	0.6944163807931569	0.34342	False
ENSG00000001460	STPG1	False	0.7194062721013519	0.27327	False
ENSG00000001461	NIPAL3	False	0.35075738438730286	0.45753	False
ENSG00000001561	ENPP4	False	0.09391042525330527	0.018305	False
ENSG00000001617	SEMA3F	False	0.1022875346088114	0.02696	False
ENSG00000001626	CFTR	False	0.6176963185564617	0.15467	False
ENSG00000001629	ANKIB1	False	0.13676486325439044	0.22397	False
ENSG00000001630	CYP51A1	False	0.6112917690189887	0.19398	False
ENSG00000001631	KRIT1	True	0.5245877010901312		False
ENSG00000002016	RAD52	False	0.45605779311365857	0.301	False
ENSG00000002330	BAD	False	0.15871416919745854	0.21549	False
ENSG00000002549	LAP3	False	0.3597855046179842	0.56636	False
ENSG00000002587	HS3ST1	False	0.18835165268635698	0.19086	False
ENSG00000002726	AOC1	False	0.1731512888019272	0.26938	False
ENSG00000002745	WNT16	False	0.23325548886318626	0.14748	False
ENSG00000002746	HECW1	False	0.006045040170954807	0.55121	False
ENSG00000002822	MAD1L1	False	0.4257767387344369	0.1312	False
ENSG00000002834	LASP1	False	0.05602643498522013	0.025622	False
ENSG00000002919	SNX11	False	0.269785172791962	0.033969	False
ENSG00000002933	TMEM176A	False	0.32822273259284984	0.22964	False
ENSG00000003056	M6PR	False	0.0011857346731087466	0.10392	False
ENSG00000003137	CYP26B1	False	0.48795161307555845	0.095559	False
ENSG00000003147	ICA1	False	0.0720554078398014	0.30056	False
ENSG00000003249	DBNDD1	False	0.44279773352397533	0.28117	False
ENSG00000003393	ALS2	False	0.09490846172817874	0.42468	False
ENSG00000003400	CASP10	False	0.0255525487476116	0.097512	False
ENSG00000003402	CFLAR	False	0.127886899975902	0.12686	False
ENSG00000003436	TFPI	False	0.04959023550597389	0.3143	False
ENSG00000003509	NDUFAF7	False	0.7000363045100877	0.37843	False
ENSG00000003756	RBM5	False	0.020120093065978065	0.030427	False
ENSG00000003987	MTMR7	False	0.3072743305846241	0.41055	False
ENSG00000003989	SLC7A2	False	0.40180949640686775	0.10054	False
ENSG00000004059	ARF5	False	0.4612145038606661	0.14534	False
ENSG00000004139	SARM1	False	0.003062757551969414	0.053823	False
ENSG00000004142	POLDIP2	False	0.2997602702824473	0.41667	False
ENSG00000004399	PLXND1	False	0.00841576886056441	0.031139	False
ENSG00000004455	AK2	False	0.1879125925085511	0.35968	False
ENSG00000004468	CD38	False	0.11700485093065965	0.34106	False
ENSG00000004478	FKBP4	False	0.14159605783270232	0.43276	False
ENSG00000004487	KDM1A	False	0.45086829352794855	0.087983	False
ENSG00000004534	RBM6	False	0.6447463973449203	0.082846	False
ENSG00000004660	CAMKK1	False	0.20493648294789807	0.80628	False
ENSG00000004700	RECQL	False	0.06296005784021393	0.42896	False
ENSG00000004766	VPS50	False	0.06085758479524759	0.094379	False
ENSG00000004777	ARHGAP33	False	0.011235826934081193	0.12953	False
ENSG00000004779	NDUFAB1	False	0.8516249030547615		False
ENSG00000004799	PDK4	False	0.2167440767826134	0.57611	False
ENSG00000004809	SLC22A16	False	0.2936748149041804	0.067877	False
ENSG00000004838	ZMYND10	False	0.11265685488646111	0.068191	False
ENSG00000004846	ABCB5	False	0.19451659234851548	0.25504	False
ENSG00000004864	SLC25A13	False	0.7715716364403159	0.60838	False
ENSG00000004866	ST7	False	0.18430122406439087	0.1045	False
ENSG00000004897	CDC27	False	0.00786028101681619	0.41233	False
ENSG00000004939	SLC4A1	False	0.2921507306231077	0.13242	False
ENSG00000004948	CALCR	False	0.01618712921054903	0.031251	False
ENSG00000004975	DVL2	False	0.23273609777679777	0.19383	False
ENSG00000005001	PRSS22	False	0.28728910022527704	0.58621	False
ENSG00000005007	UPF1	False	0.17590827480515628	0.28122	False
ENSG00000005020	SKAP2	False	0.5990727767315054	0.33677	False
ENSG00000005059	MCUB	False	0.2541222987944549	0.12422	False
ENSG00000005073	HOXA11	False	0.144386371146823	0.096297	False
ENSG00000005075	POLR2J	False	0.35051800992248766	0.26956	False
ENSG00000005100	DHX33	False	0.32262415034509684	0.05096	False
ENSG00000005102	MEOX1	False	0.04902032480399088	0.10483	False
ENSG00000005108	THSD7A	False	0.0001383976096248888	0.47783	False
ENSG00000005156	LIG3	True	0.46757352644533823	0.31597	False
ENSG00000005175	RPAP3	False	0.19806255880143542	0.30327	False
ENSG00000005187	ACSM3	False	0.18706960915078352	0.49845	False
ENSG00000005189	REXO5	False	0.018774882617250323	0.46348	False
ENSG00000005194	CIAPIN1	False	0.003298539596371079	0.66547	False
ENSG00000005206	SPPL2B	False	0.10101012705617737	0.020865	False
ENSG00000005243	COPZ2	False	0.46015867753474216	0.3607	False
ENSG00000005249	PRKAR2B	False	0.5615015598311237	0.17596	False
ENSG00000005339	CREBBP	True	0.0008987783548060197	0.077058	False
ENSG00000005379	TSPOAP1	False	0.019014190664068096	0.31973	False
ENSG00000005381	MPO	False	0.08163821513166034	0.084781	False
ENSG00000005421	PON1	False	0.13463291303325722	0.1668	False
ENSG00000005436	GCFC2	False	0.3736381237778252	0.035671	False
ENSG00000005448	WDR54	False	0.5115906787023355	0.15148	False
ENSG00000005469	CROT	False	0.06140574988723798	0.012017	False
ENSG00000005471	ABCB4	False	0.10220817095759938	0.0077031	False
ENSG00000005483	KMT2E	True	0.00288570575694059	8.8556e-05	False
ENSG00000005486	RHBDD2	False	0.23261631979230743	0.17693	False
ENSG00000005513	SOX8	False	0.5670206892163812		False
ENSG00000005700	IBTK	False	0.22783211451350602	0.06691	False
ENSG00000005801	ZNF195	False	0.508949706972011	0.52706	False
ENSG00000005812	FBXL3	False	0.5605852523802052	0.049962	False
ENSG00000005844	ITGAL	False	0.17644228240800394	0.07809	False
ENSG00000005882	PDK2	False	0.0628795395580541	0.37082	False
ENSG00000005884	ITGA3	False	0.10805840327842374	0.22451	False
ENSG00000005961	ITGA2B	False	0.4651912682278613	0.32018	False
ENSG00000005981	ASB4	False	0.06356462207541302	0.099786	False
ENSG00000006007	GDE1	False	0.1354663058812099	0.186	False
ENSG00000006015	REX1BD	False	0.012056435729424664	0.044488	False
