gene_id	gene_name	group	n_variants	p_constraint	p_gerp	p_pathogenicity	p_pLoF	p_missense	p_unified
ENSG00000000419	DPM1	AFR (exomes)	1						nan
ENSG00000000419	DPM1	AFR (genomes)	6	0.1830528056184143	0.21402998396384165	0.09675887896666438		0.24702215333646133	0.24332243035923648
ENSG00000000419	DPM1	AMR (exomes)	5						
ENSG00000000419	DPM1	ASJ (exomes)	1						nan
ENSG00000000419	DPM1	EAS (exomes)	6						
ENSG00000000419	DPM1	EUR (exomes)	29	0.23902500494676063	0.5547669734392375	0.07638532769042854	0.6401466709202559	0.08643091354593221	0.42243576666202404
ENSG00000000419	DPM1	EUR-N (exomes)	24	0.025062008940236816	0.16732172829031164	0.0285302876486342	0.005553960944463055	0.5902876534621829	0.0064530934757522805
ENSG00000000419	DPM1	FIN (exomes)	3						
ENSG00000000419	DPM1	meta	103	0.27220088258954395	0.32317918883142416	0.07206789833941846	0.1571530218642123	0.1701826933581296	0.057124288315020005
ENSG00000000457	SCYL3	AFR (exomes)	3						
ENSG00000000457	SCYL3	AFR (genomes)	20	0.5019565644852029	0.67018121764013	0.9364112380235724	0.804108740993639	0.9743620888133657	0.9481853631791893
ENSG00000000457	SCYL3	AMR (exomes)	25	0.8524099235508246	0.2505427221887567	0.4465589688035072	0.3614642734476159	0.7419991484972193	0.45790463146325155
ENSG00000000457	SCYL3	ASJ (exomes)	4						
ENSG00000000457	SCYL3	EAS (exomes)	10	0.3311478603609708	0.05360295495797063	0.1504423201862724	0.4316120965886688	0.482720582956145	0.15211166347717867
ENSG00000000457	SCYL3	EST (genomes)	3						
ENSG00000000457	SCYL3	EUR (exomes)	67	0.33177650546502013	0.5480659768319912	0.5944165686502385	0.9176590932572479	0.1692412186123794	0.7834394220685659
ENSG00000000457	SCYL3	EUR-N (exomes)	38	0.9004137106339021	0.024609131068028176	0.38259174569557575	0.042479849292433515	0.04530137120391813	0.09819750729609962
ENSG00000000457	SCYL3	FIN (exomes)	9	0.8715087384791708	0.1563191080037155	0.8218564291276086	0.83355166094986	0.41774633446412657	0.26918847369565196
ENSG00000000457	SCYL3	FIN (genomes)	2						
ENSG00000000457	SCYL3	meta	241	0.7501104296897654	0.9355781821727281	0.7997029951275405	0.022880287333625203	0.005582750971969247	0.9924015703423618
ENSG00000000460	C1orf112	AFR (exomes)	6	0.7306628287840211	0.44378786543309257	0.8352313275401756		2.9306045910742995e-30	1.0
ENSG00000000460	C1orf112	AFR (genomes)	20	0.6285580186933801	0.6382925704661675	0.7813679095169874	0.38993923777657113	0.6517819141623321	0.5671945811758415
ENSG00000000460	C1orf112	AMR (exomes)	22	0.78786986353837	0.18786267707086363	0.11794445383726723		0.8712089657281035	0.3567758974327003
ENSG00000000460	C1orf112	ASJ (exomes)	6	0.9569642953855818	0.7389154222409887	0.7067100423256166	0.8170415687353825	0.8475914328937082	0.6501767205190512
ENSG00000000460	C1orf112	EAS (exomes)	21	0.23084555729395617	0.22989794720107762	0.5263299295120024	0.7751820002076008	0.4017439192163169	0.529070042220976
ENSG00000000460	C1orf112	EST (genomes)	7	0.0008307447076859497	0.06903729239400731	0.0002789243854839847	0.0010568713105619518	0.0005773053877768665	0.0009704394137338348
ENSG00000000460	C1orf112	EUR (exomes)	89	0.6569821044717425	0.7098987740036927	0.7738753058307193	0.869816577528537	0.7274966790512706	0.9748939316718044
ENSG00000000460	C1orf112	EUR-N (exomes)	31	0.41609915654786434	0.19530385389712063	0.11778628001210745	0.020075519729906992	0.02511435061553228	0.046095824685316984
ENSG00000000460	C1orf112	FIN (exomes)	3						
ENSG00000000460	C1orf112	FIN (genomes)	3						
ENSG00000000460	C1orf112	GPC_Latino_AMR	1						nan
ENSG00000000460	C1orf112	GPC_genomes_AFR	1						nan
ENSG00000000460	C1orf112	SAS (exomes)	3						
ENSG00000000460	C1orf112	meta	277	0.2216555499371704	0.23721207986229362	0.7310025426388731	0.32770222950107675	0.00084030939217553	0.5403722599487397
ENSG00000000938	FGR	AFR (exomes)	6	0.6566337586991695	0.610272048258713	0.6486405590597988		0.6526236657528139	0.7649809514761787
ENSG00000000938	FGR	AFR (genomes)	9	0.23039435695755514	0.31660218740214724	0.09297072731327642		0.09283767195035914	0.2570230808234641
ENSG00000000938	FGR	AMR (exomes)	8	0.40056152405999107	0.4736259550244966	0.32664322222725994		0.7618291856722632	0.5847870777944667
ENSG00000000938	FGR	ASJ (exomes)	2						
ENSG00000000938	FGR	EAS (exomes)	4						
ENSG00000000938	FGR	EST (genomes)	2						
ENSG00000000938	FGR	EUR (exomes)	34	0.4645504887248446	0.2123999579021738	0.4692331429335248	0.2650618380164962	0.9933323154355318	0.3604326797769873
ENSG00000000938	FGR	EUR-N (exomes)	25	0.45707948735582604	0.7907486471665036	0.3279282931259032	0.5325964141636024	0.22061320716020413	0.5841931634566044
ENSG00000000938	FGR	FIN (exomes)	2						
ENSG00000000938	FGR	FIN (genomes)	2						
ENSG00000000938	FGR	meta	130	0.7209681957503429	0.29330834256169686	0.2784605113071506	0.3828483941471513	0.02504597887487636	0.5288566718530496
ENSG00000000971	CFH	AFR (exomes)	14	0.3471043673581785	0.34024866966134726	0.2366263487768812		0.24480248678169117	0.3330653504214546
ENSG00000000971	CFH	AFR (genomes)	32	0.9393777320128922	0.5558550521059946	0.12508807085875007	0.7434949390186022	0.07875406326012278	0.30411923861021556
ENSG00000000971	CFH	AMR (exomes)	29	0.231503353900749	0.08261971936700548	0.420025004682797		0.04994543958877201	0.24421324852932524
ENSG00000000971	CFH	ASJ (exomes)	6	0.5499059917682907	0.07790924557796639	0.5319990247620123		0.3694775620065348	0.18977589481187665
ENSG00000000971	CFH	EAS (exomes)	22	0.08514945968798086	0.5664972666509307	0.31070003602135615		0.25788688737650456	0.24678491700207902
ENSG00000000971	CFH	EST (genomes)	9	0.3247147171199707	0.19541888113621678	0.6181598959825665	0.10215183218776216	0.05212928143827747	0.463970498648037
ENSG00000000971	CFH	EUR (exomes)	122	0.40378027973114794	0.49845846808535	0.6981452827392827	0.6631038465155032	0.9827919253415948	0.8019920187389704
ENSG00000000971	CFH	EUR-N (exomes)	50	0.5581204406437561	0.708905015803692	0.6622058877932674	0.4336263203010089	0.3554990892297475	0.7764868223789667
ENSG00000000971	CFH	FIN (exomes)	9	0.8647971484208832	0.09531943762420779	0.9756534535288964		1.4444374065653183e-72	1.0
ENSG00000000971	CFH	FIN (genomes)	4						
ENSG00000000971	CFH	GPC_Latino_AMR	1						nan
ENSG00000000971	CFH	SAS (exomes)	3						
ENSG00000000971	CFH	meta	392	0.5553462964232012	0.21354443996188105	0.14776616207604265	0.0023099223877316864	0.6541794481105914	0.05570967966083837
ENSG00000001036	FUCA2	AFR (exomes)	4	0.6380142740773213	0.6127212865754741	0.25920431338335853		0.6380142740769037	0.24112151752675168
ENSG00000001036	FUCA2	AFR (genomes)	12	0.35867291913003446	0.9475692224359571	0.5151542664648905		0.21350320460228586	0.680060992306354
ENSG00000001036	FUCA2	AMR (exomes)	11	0.5955299723579269	0.31138316380278686	0.9835400911539931	0.4165643171442292	0.5932255351594611	0.7054110402124586
ENSG00000001036	FUCA2	EAS (exomes)	8	0.9481772300830535	0.4445790787960768	0.27286791345454237	0.6940948964691936	0.8591211111313772	0.7306162741573956
ENSG00000001036	FUCA2	EST (genomes)	3						
ENSG00000001036	FUCA2	EUR (exomes)	46	0.7394781393733276	0.7276908556010462	0.5168882671821764	0.41423834741363996	0.36080797825396793	0.8040834719875911
ENSG00000001036	FUCA2	EUR-N (exomes)	15	0.38179743833260005	0.7729516303051566	0.7156167844464563	0.23832787062295757	0.16765261720953406	0.466977831009847
ENSG00000001036	FUCA2	Estonian_genome_EST	2						
ENSG00000001036	FUCA2	GPC_genomes_EUR	1						nan
ENSG00000001036	FUCA2	SAS (exomes)	1						nan
