Gene ID,Gene Name,Group,Constraint p-value,Pathogenicity p-value,pLoF p-value,Unified Model p-value,Epi25 p-value
ENSG00000000419,DPM1,DEE,0.92166573384543,0.4276819440986419,0.0326622350177236,0.1458441274079227,
ENSG00000000457,SCYL3,DEE,0.5661186753742045,0.7778753358415524,0.0283698094483879,0.153311471048952,
ENSG00000000460,C1orf112,DEE,0.7576129998554048,0.7340440418481435,0.4075196037631221,0.8403322798588269,
ENSG00000000938,FGR,DEE,0.6730167522739458,0.0643788780734877,0.7840728951983205,0.3102803544566124,0.35773
ENSG00000000971,CFH,DEE,0.4278325583905442,0.0328466839135391,0.478585400907014,0.1531895159729748,0.71116
ENSG00000001036,FUCA2,DEE,0.3151366401628629,0.0023737407570104,0.952055547172192,0.0196702049830369,
ENSG00000001084,GCLC,DEE,0.7509939968221011,0.0131624445653102,0.6096584888687815,0.0872186740993376,0.23557
ENSG00000001167,NFYA,DEE,0.7032948749220809,0.9795804555453572,0.7010986542012002,0.9634344110225892,0.74326
ENSG00000001460,STPG1,DEE,0.5387800307563724,0.3708058156165256,0.5937640349060349,0.742716973333065,
ENSG00000001461,NIPAL3,DEE,0.784063581366441,0.174325281718344,0.6822444719144517,0.552711390591109,
ENSG00000001561,ENPP4,DEE,0.9204331171391796,0.8708790410551942,0.0888346226262972,0.3827748599594852,
ENSG00000001617,SEMA3F,DEE,0.5301539098948465,0.0282320973918244,0.0604480795610377,0.0352974264501748,0.29634
ENSG00000001626,CFTR,DEE,0.3787932283248321,0.840745141126281,0.9903216156225344,0.8437671533881365,
ENSG00000001629,ANKIB1,DEE,0.1352818149330199,0.7441834608896503,0.6354930771266513,0.3304954715767586,0.46567
ENSG00000001631,KRIT1,DEE,0.5596634355147228,0.0309333112676199,,0.0883721536424875,
ENSG00000002016,RAD52,DEE,0.190590172314421,0.4446674968898767,0.7761807661855373,0.5357248145772718,
ENSG00000002330,BAD,DEE,0.9661744117645916,0.0759452325818873,0.9244670818225088,0.3320724012740317,
ENSG00000002549,LAP3,DEE,0.3975384838777321,0.0210955685055575,0.7238668519352229,0.121616497490703,
ENSG00000002587,HS3ST1,DEE,0.9444387382606786,0.3959522235835431,0.820625857194391,0.8555675300140414,
ENSG00000002726,AOC1,DEE,0.9385853610170164,0.1013905398671118,0.1365652743011071,0.1919187916714024,
ENSG00000002745,WNT16,DEE,0.0506848131456502,0.0373799897678077,0.6678847195042233,0.038867128081087,
ENSG00000002746,HECW1,DEE,0.0870669971707785,0.4793455584258915,0.9156162344193084,0.3293206150291067,
ENSG00000002822,MAD1L1,DEE,0.5946120428777817,0.0054804970382711,0.5653010657252311,0.0361632496089386,
ENSG00000002834,LASP1,DEE,0.7857066043307497,0.4253272419581357,0.4408618378411046,0.8070880747034609,0.025622
ENSG00000002919,SNX11,DEE,0.9777658212173714,0.4658598218704762,0.98343809985061,0.9069122656611746,
ENSG00000002933,TMEM176A,DEE,0.9776585029571364,0.6145596292732058,0.8366381354459382,0.9589675406823204,
ENSG00000003056,M6PR,DEE,0.9753953027846348,0.8787407708387915,0.6249762924579831,0.9688352447394551,
ENSG00000003137,CYP26B1,DEE,0.6516605427070616,0.259177882251362,0.9458845859796166,0.6714765239054408,0.095559
ENSG00000003147,ICA1,DEE,0.0352328200898819,0.9527285071442476,0.8590726629318803,0.2107653539583763,
ENSG00000003249,DBNDD1,DEE,0.5796459399152062,0.7621324537579877,0.9029635611455108,0.92682558579315,
ENSG00000003393,ALS2,DEE,0.0052792952927018,0.501002812213664,0.7532217511178968,0.0450529110768258,
ENSG00000003400,CASP10,DEE,0.9354009582560544,0.074823614283605,0.3183354901037484,0.2865428154741931,
ENSG00000003402,CFLAR,DEE,0.0062588365381302,0.1013526957713502,0.6011962790717689,0.0461950081416897,0.43739
ENSG00000003436,TFPI,DEE,0.5240064188920526,0.6930359358401681,0.7863182740995267,0.882771354844348,
ENSG00000003509,NDUFAF7,DEE,0.9278888924052932,0.6315067730404522,0.7065387672624099,0.9444002333599436,
ENSG00000003756,RBM5,DEE,0.9363306819088706,0.3292793049431761,0.1110154579063674,0.3792961286517126,0.5948
ENSG00000003987,MTMR7,DEE,0.9705349121128204,0.4872306103053114,0.1426331001654319,0.4080163992014439,
ENSG00000003989,SLC7A2,DEE,0.6330168596929897,0.0933157233647714,0.1853195498945766,0.1647311028167231,
ENSG00000004059,ARF5,DEE,0.7466622554832169,0.5073758291027324,0.78544435558181,0.8505977931791332,0.24415
ENSG00000004139,SARM1,DEE,0.0094566447158574,0.4636968419137999,0.023908589651185,0.0055965427265079,0.18411
ENSG00000004142,POLDIP2,DEE,0.9500722307712705,0.6314329774252039,0.5687612949874536,0.9027654155084872,
ENSG00000004399,PLXND1,DEE,0.0075024350113671,0.2895321310032527,0.1442938481321659,0.009842827365657,0.3376
ENSG00000004455,AK2,DEE,0.7440749246879238,0.8639451667739537,0.036117508261752,0.1865890816665062,
ENSG00000004468,CD38,DEE,0.293614150221695,0.9875507662804184,0.8959759408503363,0.7195714702538618,
ENSG00000004478,FKBP4,DEE,0.9193646559067584,0.673892814281148,0.629696468487329,0.9339029308061958,
ENSG00000004487,KDM1A,DEE,0.747515475746843,0.8669727189584173,0.6725613260385288,0.961597128136535,0.50937
ENSG00000004534,RBM6,DEE,0.7823941866904055,0.627542505463017,0.8662867662006777,0.9592096105758128,0.95293
ENSG00000004660,CAMKK1,DEE,0.9142933897881832,0.49516010160457,,0.7641650831265399,
ENSG00000004700,RECQL,DEE,0.3588177245226681,0.6541599411967818,0.2546057946387225,0.5355702108225331,
ENSG00000004766,VPS50,DEE,0.2981483096152408,0.293419627561741,0.9609291420063292,0.5815330895002415,
ENSG00000004776,HSPB6,DEE,0.0374438005087427,0.000766139589885,0.0901355565462967,0.0021447145125625,
ENSG00000004779,NDUFAB1,DEE,0.4271721337477492,0.8633948810300283,,0.725345310558791,
ENSG00000004799,PDK4,DEE,0.9994281896750112,0.0578218539466912,0.2701935158362145,0.152362078503476,
ENSG00000004809,SLC22A16,DEE,0.9576732610150532,0.8762494207955072,0.2217409482410171,0.6717273068562577,
ENSG00000004838,ZMYND10,DEE,0.9810277495491756,0.5197206395989118,0.0255122245080501,0.1245738301216257,
ENSG00000004846,ABCB5,DEE,0.6320784053720129,0.7091668176140571,0.5435493524145105,0.8673651349977726,
ENSG00000004864,SLC25A13,DEE,0.9065504104677258,0.3125761161773848,0.4840297240206852,0.6955518766330315,
ENSG00000004866,ST7,DEE,0.0859344953146107,0.0720604281438489,0.5058079327174776,0.050715675353896,0.17663
ENSG00000004897,CDC27,DEE,0.0009908168004749,0.6562059643089506,0.9498819118979952,0.0106820193527153,0.98566
ENSG00000004939,SLC4A1,DEE,0.874127209085999,0.7340102483850917,,0.9288021803878264,
ENSG00000004948,CALCR,DEE,0.5543510947818922,0.0531380742223081,0.2666391182192048,0.1971563789216397,
ENSG00000004975,DVL2,DEE,0.8960551671228199,0.6919616242946401,0.6247588414874805,0.9373259388470676,
ENSG00000005001,PRSS22,DEE,0.5724042394390192,0.9525407144429554,0.7231623124827831,0.9292105626620693,
ENSG00000005007,UPF1,DEE,0.0767383401041074,0.8532512574875808,,0.2022494885580017,0.59861
ENSG00000005020,SKAP2,DEE,0.7657151141661939,0.9853139490704836,0.7734913422890491,0.978908687843524,
