Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,Epi25 DM p-value,Epi25 PTV p-value
ENSG00000000419,DPM1,DEE,58,0.9697469444594808,0.1918905226518376,0.0757628505845202,0.0001101754995583,0.2007628135553459,0.1377132505961123,,0.043743
ENSG00000000457,SCYL3,DEE,138,0.7761409671480374,0.4893272430449457,0.1243109730326421,3.364013065459309e-10,5.336532948417381e-08,0.0970541146353303,,0.021013
ENSG00000000460,C1orf112,DEE,139,0.7735998074033889,0.8227232253264465,0.3882644567406285,0.0015972858203491,1.6050899495109732e-11,0.8485731618099402,,0.79314
ENSG00000000938,FGR,DEE,76,0.5174012524477172,0.0449706635768548,0.2073313830111145,0.003111631517008,0.0004235270689886,0.110504955291498,0.35773,0.3579
ENSG00000000971,CFH,DEE,254,0.5585969444351536,0.993784486493281,0.0226819377835444,5.488182428302047e-05,0.0445523189611705,0.0409141401059407,0.71116,0.12033
ENSG00000001036,FUCA2,DEE,102,0.4450963652058,0.4509030823769424,0.0147881357818966,5.0298191906596075e-08,1.0693873372321928e-11,0.135641890117044,,0.60893
ENSG00000001084,GCLC,DEE,56,0.7001213956118255,0.1671537094402698,0.3404898326534706,0.0483033889559723,0.0002787627653179,0.577997706701558,0.23557,0.85006
ENSG00000001167,NFYA,DEE,27,0.9031857996997494,0.4597392883770064,0.5327427641495817,0.3764575891426278,0.0248965551260035,0.8860117196488633,0.74326,0.80919
ENSG00000001460,STPG1,DEE,84,0.5028272410757317,0.5356998242485629,0.7076984920539252,8.248656012417006e-06,6.639152941613038e-10,0.9151061370880886,,0.77257
ENSG00000001461,NIPAL3,DEE,92,0.9262455198184356,0.7106607604777524,0.8786006767675315,0.2024030772385087,0.0001514575200159,0.974673200233787,,0.71111
ENSG00000001561,ENPP4,DEE,92,0.9851643098142484,0.932305285863782,0.3922231652463337,0.0811385933479595,2.354408556089068e-10,0.5912409751185501,,0.83366
ENSG00000001617,SEMA3F,DEE,180,0.5047478665030705,0.2050014110247496,0.054747943282842,9.218926075877024e-05,0.0075953036578752,0.1022875346088096,0.29634,0.082393
