Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,Epi25 DM p-value,Epi25 PTV p-value,G4E,Epi25 min p-value
ENSG00000000419,DPM1,DEE,58,0.9697469444594806,0.19189052265183762,0.07576285058452027,0.00011017549955832503,0.20076281355534567,0.13771325059611236,,0.043743,True,0.043743
ENSG00000000457,SCYL3,DEE,138,0.7761409671480374,0.4893272430449457,0.12431097303264228,3.3640130654593095e-10,5.336532948417416e-08,0.09705411463533035,,0.021013,False,0.021013
ENSG00000000460,C1orf112,DEE,139,0.7735998074033889,0.8227232253264465,0.38826445674062837,0.0015972858203491612,1.605089949511002e-11,0.8485731618099402,,0.79314,False,0.79314
ENSG00000000938,FGR,DEE,76,0.5174012524477172,0.04497066357685483,0.2073313830111145,0.0031116315170080415,0.0004235270689886872,0.11050495529149806,0.35773,0.3579,False,0.35773
ENSG00000000971,CFH,DEE,254,0.5585969444351537,0.993784486493281,0.022681937783544496,5.4881824283020466e-05,0.04455231896117057,0.04091414010594073,0.71116,0.12033,False,0.12033
ENSG00000001036,FUCA2,DEE,102,0.44509636520579987,0.45090308237694243,0.014788135781896675,5.029819190659607e-08,1.0693873372321927e-11,0.1356418901170445,,0.60893,False,0.60893
ENSG00000001084,GCLC,DEE,56,0.7001213956118255,0.16715370944027005,0.3404898326534709,0.048303388955972214,0.00027876276531795874,0.577997706701558,0.23557,0.85006,False,0.23557
ENSG00000001167,NFYA,DEE,27,0.9031857996997492,0.4597392883770064,0.5327427641495817,0.37645758914262784,0.024896555126003538,0.8860117196488633,0.74326,0.80919,False,0.74326
ENSG00000001460,STPG1,DEE,84,0.5028272410757317,0.5356998242485631,0.7076984920539253,8.248656012416975e-06,6.639152941612967e-10,0.9151061370880913,,0.77257,False,0.77257
ENSG00000001461,NIPAL3,DEE,92,0.926245519818435,0.7106607604777521,0.8786006767675315,0.20240307723850853,0.00015145752001595496,0.974673200233787,,0.71111,False,0.71111
ENSG00000001561,ENPP4,DEE,92,0.9851643098142484,0.9323052858637821,0.3922231652463337,0.08113859334795956,2.354408556089068e-10,0.5912409751185485,,0.83366,False,0.83366
ENSG00000001617,SEMA3F,DEE,180,0.50474786650307,0.2050014110247498,0.05474794328284209,9.218926075877024e-05,0.007595303657875239,0.1022875346088114,0.29634,0.082393,False,0.082393
ENSG00000001626,CFTR,DEE,362,0.4050684367130938,0.7556280571057977,0.7692561633861056,7.472726799554609e-10,4.815746203753014e-23,0.9287739103963355,,0.19922,False,0.19922
ENSG00000001629,ANKIB1,DEE,155,0.231000553917947,0.7416043650158799,0.24398888076221872,0.005174103816879833,0.0002463369100707187,0.29435960540379374,0.46567,0.22397,False,0.22397
ENSG00000001630,CYP51A1,DEE,68,0.7473934178869465,0.4177452043647123,1.46072348720677e-18,3.720152520855641e-09,1.0363013802622686e-17,0.7194555402656515,,0.19398,False,0.19398
ENSG00000002016,RAD52,DEE,100,0.22937290267170815,0.1967119485725139,0.9986547390255609,0.0002217104042050584,2.7079286945687767e-11,0.46253168083009233,,0.45046,False,0.45046
ENSG00000002330,BAD,DEE,32,0.9722858871526948,0.784280541907713,0.07306158085529894,0.10172357731155475,0.004623977410119915,0.45788212067170864,,0.3496,False,0.3496
ENSG00000002549,LAP3,DEE,120,0.44134275277877133,0.1253488861619389,0.14424812893427472,0.0018421837959339792,5.57206807321781e-07,0.3597855046179842,,0.65607,False,0.65607
