Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,SCHEMA p-value
ENSG00000000419,DPM1,meta,103,0.2195478506303595,0.6899063635115539,0.0268693372067252,0.1434724640278689,0.1463103528384757,0.0783753351247169,1.0
ENSG00000000457,SCYL3,meta,241,0.7423413428668812,0.8411263942109742,0.8354739411295762,0.0224334221999057,0.0054561299250341,0.99037664755537,0.338
ENSG00000000460,C1orf112,meta,277,0.2695113586285809,0.9247014725317012,0.8839557644479147,0.320843633825831,0.0003663521633643,0.7890075282224287,0.43
ENSG00000000938,FGR,meta,130,0.6330998352020795,0.6876416082618297,0.2201878780832303,0.3624748137839636,0.0449454396347391,0.6950813336517387,0.598
ENSG00000000971,CFH,meta,392,0.5365865674622039,0.210719388684884,0.0938788062092729,0.0023173704788635,0.6477871691067218,0.0552585693378523,0.649
ENSG00000001036,FUCA2,meta,158,0.7606938665971869,0.4243443572764683,0.153128925543577,0.7105696910529675,2.6347338412792117e-05,0.2189003038172161,0.2
ENSG00000001084,GCLC,meta,102,0.2924119586725136,0.6277433052386712,0.9393148081822464,0.5316407104076764,0.0710914032119663,0.8402753181513198,0.851
ENSG00000001167,NFYA,meta,75,0.8708351145902427,0.7926570365489184,0.4966606840272705,0.2281910630950362,0.5960033691966837,0.9170969281033096,0.643
ENSG00000001460,STPG1,meta,119,0.8465516051795948,0.3286565977823239,0.4357512257095471,0.0204308352648422,0.0078723675146597,0.0733081782866604,1.0
ENSG00000001461,NIPAL3,meta,152,0.0757002096807505,0.1655877067185748,0.7397660921483855,0.176275606626206,0.0061971696882996,0.2911232203101736,0.699
ENSG00000001561,ENPP4,meta,131,0.1571886215309884,0.1109345674877508,0.28083005597526,0.5609209091722891,0.0748778466826259,0.2395458958920115,0.781
ENSG00000001617,SEMA3F,meta,280,0.126626325460811,0.8778381369702057,0.9995355303874494,0.0211514453603349,0.9569505332174044,0.3059955508293134,0.0443
ENSG00000001626,CFTR,meta,571,0.2660899582820819,0.4195862189294472,0.0103207526647807,0.0632381560774733,0.0018170842803458,0.0576378043097123,0.601
ENSG00000001629,ANKIB1,meta,233,0.4112752041826,0.5696240421148727,0.2255477843734256,0.0046367306537386,0.8912569965573929,0.1847882832704282,0.02
ENSG00000001630,CYP51A1,meta,155,0.5415018009499157,0.8487840441745875,6.915006711732436e-09,0.0004706592257897,1.1462228775772804e-09,0.6785925125989396,0.0709
ENSG00000001631,KRIT1,meta,160,0.5951592022384056,0.4606287345820925,0.4023150591972906,0.491560108416243,0.0095876063236736,0.3678305094162439,0.0177
ENSG00000002016,RAD52,meta,165,0.1319031035120193,0.5786493334980538,0.785723315501016,0.846309865307219,0.6157962154478243,0.4646073835742091,0.741
ENSG00000002330,BAD,meta,68,0.6310725480899746,0.0256672273758707,0.8556280618062644,0.229626613581256,0.4572317006653024,0.194169641401549,0.43
ENSG00000002549,LAP3,meta,171,0.4583498475479883,0.4431550754832845,0.9760310734620627,0.6213181049800284,0.0054563660180652,0.7373536890537535,0.741
ENSG00000002587,HS3ST1,meta,140,0.0312195672165836,0.8223458107445198,0.0996288776751822,0.8278116398673979,0.001699297500932,0.0809622396125787,0.666
ENSG00000002726,AOC1,meta,326,0.9520630724527444,0.7541548540787788,0.3817281207899204,0.0008426093053529,0.0734376122889154,0.5867183972119314,0.364
ENSG00000002745,WNT16,meta,145,0.2552943482651097,0.4469417257151442,0.6376966909305357,0.4659484945116039,0.0197326982283811,0.6677892676313129,0.303
ENSG00000002746,HECW1,meta,555,0.2583171317434728,0.7400823633682359,0.6504021096781905,0.0015738430972612,0.8008504283220785,0.2442156885232498,0.113
ENSG00000002822,MAD1L1,meta,314,0.1042138785343104,0.5675462496486878,0.5274298510654094,0.7149859037147392,0.678089236964754,0.5773961022590015,0.709
ENSG00000002834,LASP1,meta,83,0.7388064933338937,0.5531191788621348,0.5471629327990755,0.3021182079057772,0.5749963045884291,0.8854523179539276,0.529
ENSG00000002919,SNX11,meta,108,0.848264093095628,0.403931416362064,0.8324029936866688,0.6841469517435828,0.7330980327669676,0.957242365394558,0.465
ENSG00000002933,TMEM176A,meta,70,0.70766177670648,0.7014206560048284,0.9788833898524296,0.2500278430734585,0.1315255301439504,0.9869985364868564,1.0
ENSG00000003056,M6PR,meta,118,0.6148862343796031,0.3529071980985488,0.1229490242686989,0.4197984134887779,0.6336609498887451,0.359920510816308,0.503
ENSG00000003137,CYP26B1,meta,183,0.0802373891214645,0.8658671439829924,0.6086556705777654,0.7629473751240006,0.1366776393791242,0.4833890873100193,0.464
ENSG00000003147,ICA1,meta,164,0.2826408695084272,0.7588196658807831,0.0214942841999143,0.042007301037413,0.7800026221505358,0.1418188978584923,0.654
ENSG00000003249,DBNDD1,meta,62,0.0808514100774418,0.021625951133212,0.4280443081904235,0.8978564800640982,0.0085727345267748,0.0602020543732356,0.601
