Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,SCHEMA p-value
ENSG00000000419,DPM1,meta,103,0.21954784967948365,0.6899063451282899,0.026869336642519722,0.14347246360327573,0.14631035224243186,0.07837533452686896,1.0
ENSG00000000457,SCYL3,meta,241,0.7423413424380081,0.8411263813836696,0.8354739432482663,0.022433422108174415,0.005456129961098867,0.9903766471389066,0.338
ENSG00000000460,C1orf112,meta,277,0.2695113582001799,0.9247014829964748,0.8839557633904758,0.32084363451680264,0.00036635216168168303,0.7890075286776786,0.43
ENSG00000000938,FGR,meta,130,0.6330998357892512,0.6876415921213899,0.22018787848240792,0.36247481315592234,0.044945439536071496,0.6950813303876662,0.598
ENSG00000000971,CFH,meta,392,0.5365865675273331,0.2107193890542573,0.093878806213026,0.00231737050284028,0.6477871666642991,0.05525856939568543,0.649
ENSG00000001036,FUCA2,meta,158,0.7606938682506861,0.4243443726984273,0.1531289268296431,0.7105696950550174,2.634733862907188e-05,0.218900307301036,0.2
ENSG00000001084,GCLC,meta,102,0.2924119593549419,0.6277433171521697,0.9393148079055748,0.531640706227823,0.07109140314135456,0.8402753210393671,0.851
ENSG00000001167,NFYA,meta,75,0.8708351145617689,0.7926570384201704,0.49666068345169023,0.22819106332625042,0.5960033694588946,0.917096928295986,0.643
ENSG00000001460,STPG1,meta,119,0.8465516062471576,0.3286566185877081,0.4357512246075185,0.02043083516009252,0.00787236747266477,0.07330818059686724,1.0
ENSG00000001461,NIPAL3,meta,152,0.07570020940717753,0.16558770351394475,0.7397660897184153,0.1762756064962633,0.00619716962043418,0.29112321725784274,0.699
ENSG00000001561,ENPP4,meta,131,0.15718861838852294,0.11093456830708756,0.28083005477162326,0.5609209115168897,0.07487784651006764,0.23954589692858172,0.781
ENSG00000001617,SEMA3F,meta,280,0.12662632544861976,0.8778381386053153,0.9995355302272408,0.0211514453418098,0.9569505331306597,0.3059955508986345,0.0443
ENSG00000001626,CFTR,meta,571,0.26608995796574075,0.419586232202818,0.010320752650400103,0.06323815572604163,0.0018170842603716642,0.057637805191555744,0.601
ENSG00000001629,ANKIB1,meta,233,0.41127520304375853,0.5696240229763263,0.22554778444199636,0.004636730615758443,0.8912569987875163,0.18478828101589323,0.02
ENSG00000001630,CYP51A1,meta,155,0.5415018009469423,0.8487840487792201,6.915005829023207e-09,0.0004706592109083206,1.1462228002070254e-09,0.6785925131182277,0.0709
ENSG00000001631,KRIT1,meta,160,0.5951591996265451,0.4606287401574046,0.40231505991785466,0.4915601099201944,0.009587606370693544,0.36783051113097665,0.0177
